EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP,probs_final
Gaia EDR3 5522210155954802688,264.1788144808,-1.6632069898,130.63961426993,-44.99134342315,0.51,0.0573,-5.311,0.066,4.995,0.059,14.460547,0.002874,0.755501,,,0.006955,1
Gaia EDR3 5522210190314536064,264.1601196403,-1.6372058977,130.65229200766,-44.96060526922,0.4917,0.0469,-5.371,0.047,5.149,0.042,16.57803,0.002852,1.327885,,,0.011141,1
Gaia EDR3 5522210190314543872,264.1665783686,-1.635595119,130.65970716352,-44.96469765874,0.4367,0.0171,-5.29,0.018,5.154,0.017,14.19836,0.002765,0.758209,,,0.006764,1
Gaia EDR3 5522210224674267136,264.1596760184,-1.6498011369,130.63788393179,-44.96801546869,0.4465,0.0148,-5.283,0.016,5.177,0.016,14.236392,0.002769,0.639997,,,0.007046,1
Gaia EDR3 5522210396468322048,264.1525060015,-1.7280876758,130.54440855915,-45.01055593586,0.4816,0.0696,-5.183,0.075,5.115,0.068,17.075214,0.003305,,,,,1
Gaia EDR3 5522210808789771008,264.1202826107,-1.6962765613,130.55185684694,-44.96559354171,0.455,0.0484,-5.228,0.047,5.122,0.047,16.694124,0.002864,1.283964,,,0.011406,1
Gaia EDR3 5522210843149535232,264.1494448443,-1.6747016577,130.60125029426,-44.97529208515,0.4684,0.0366,-5.286,0.038,5.163,0.036,16.237083,0.002791,1.152959,,,0.008962,1
Gaia EDR3 5522210911869001600,264.138501709,-1.6773688747,130.58876114716,-44.96831371459,0.4705,0.0182,-5.276,0.019,5.023,0.018,14.673822,0.002771,0.708984,,,0.00688,1
Gaia EDR3 5522210976281286144,264.1499985105,-1.6522445886,130.62674214303,-44.96189981518,0.4547,0.0128,-5.307,0.014,5.134,0.013,11.869059,0.00276,0.386629,,,0.006646,1
Gaia EDR3 5522210980588498816,264.1497288195,-1.6547016474,130.62377168658,-44.96320067546,0.4325,0.0165,-5.289,0.017,5.138,0.017,14.373734,0.002772,0.610287,,,0.006923,1
Gaia EDR3 5522211014948240128,264.1402434797,-1.631060172,130.64183627849,-44.94116933384,0.4804,0.0155,-5.268,0.016,5.014,0.015,14.205287,0.002765,0.691313,,,0.006787,1
Gaia EDR3 5522211083667703936,264.1332246224,-1.6437686195,130.62158667075,-44.94346991369,0.4699,0.0249,-5.223,0.025,5.056,0.025,15.477645,0.002777,1.004149,,,0.007393,1
Gaia EDR3 5522211461624886656,264.1794160032,-1.6229981846,130.68490608548,-44.96703930106,0.4453,0.0344,-5.409,0.036,5.053,0.038,16.187748,0.002797,1.283896,,,0.009214,1
Gaia EDR3 5522211461624887040,264.1854102132,-1.6341796636,130.67768117567,-44.97864975337,0.4741,0.0118,-5.235,0.013,5.044,0.013,13.313075,0.002767,0.611654,,,0.006661,1
Gaia EDR3 5522211599063834880,264.1649629125,-1.6034020181,130.69412320241,-44.94358312624,0.5179,0.0539,-5.347,0.057,4.973,0.059,17.136066,0.002889,1.448181,,,0.017117,1
Gaia EDR3 5522211663476281088,264.169275459,-1.626047236,130.67268230948,-44.96093680616,0.5143,0.0919,-5.417,0.094,5.064,0.097,17.895922,0.003163,1.66581,,,0.027042,1
Gaia EDR3 5522211663476293120,264.161654468,-1.6233380001,130.6690624967,-44.95326794436,0.4942,0.0302,-5.317,0.032,5.071,0.034,16.008162,0.002783,1.194102,,,0.00853,1
Gaia EDR3 5522211736502760832,264.1537831423,-1.6295268718,130.65532394196,-44.95088505266,0.4832,0.0259,-5.288,0.027,5.054,0.026,15.550987,0.002776,1.085997,,,0.007643,1
Gaia EDR3 5522212664215690240,264.122841733,-1.5828395915,130.68033017679,-44.89775465656,0.4666,0.0171,-5.195,0.018,5.155,0.019,14.695672,0.002767,0.780454,,,0.007027,1
Gaia EDR3 5522213351410435200,264.0834232123,-1.5513635928,130.68102816475,-44.84732498818,0.4776,0.0266,-5.363,0.028,5.05,0.03,15.719837,0.002775,1.218874,,,0.007939,1
Gaia EDR3 5522213381463293824,264.0790051857,-1.565159323,130.66186511501,-44.85235022806,0.5193,0.1019,-5.319,0.108,5.048,0.118,18.040445,0.003607,1.739981,,,0.035581,1
Gaia EDR3 5522304713956761984,264.0946958151,-1.7567114515,130.46225208925,-44.98257377236,0.5332,0.0678,-5.357,0.076,4.954,0.072,17.442928,0.002909,1.34132,,,0.016549,1
