# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522020009165982080" 6.28613 3.01670 7.35287 0.89426 4.61495 1.97997 0.54
"Gaia EDR3 5522014545967742464" 10.36849 0.44713 6.75264 0.73248 3.42188 1.57434 0.58
"Gaia EDR3 5329864409300143616" 11.30355 0.27433 5.65919 0.51896 1.91245 1.31476 0.49
"Gaia EDR3 5522021555354312064" 11.45348 0.86012 5.38794 0.47072 1.93235 1.19870 0.51
"Gaia EDR3 5329868738627041408" 12.38768 0.36688 4.06991 0.36030 1.16696 0.92270 0.49
"Gaia EDR3 5522116830603381120" 12.39562 0.69259 4.03142 0.36602 1.41180 0.94158 0.52
"Gaia EDR3 5522118243650501632" 13.06990 0.43821 3.20367 0.33312 1.03486 0.71720 0.41
"Gaia EDR3 5522023509554943872" 13.07542 0.80512 3.15804 0.33337 1.34782 0.68357 0.52
"Gaia EDR3 5522022311268665344" 13.39323 0.53876 2.84895 0.32211 0.86809 0.63580 0.53
"Gaia EDR3 5329866745762183040" 13.46087 0.48137 2.78295 0.30583 0.69802 0.58421 0.43
"Gaia EDR3 5522014958284517632" 13.49840 0.54336 2.74117 0.29949 0.79670 0.61656 0.50
"Gaia EDR3 5522037738790973056" 13.79883 0.75466 2.45464 0.24120 0.91650 0.61240 0.55
"Gaia EDR3 5522018806575192704" 13.81005 0.85813 2.43209 0.23721 0.94883 0.61041 0.54
"Gaia EDR3 5522020902519373952" 13.97051 0.59842 2.34548 0.20957 0.66809 0.51289 0.47
"Gaia EDR3 5522026537516530048" 14.05280 0.74969 2.26907 0.18303 0.82716 0.55884 0.56
"Gaia EDR3 5522021486634858368" 14.09226 0.88332 2.22658 0.17285 0.89867 0.54709 0.54
"Gaia EDR3 5522121370389801472" 14.14197 0.84275 2.20004 0.16315 0.87617 0.53765 0.55
"Gaia EDR3 5522021177397239296" 14.23907 0.61625 2.16760 0.15318 0.59055 0.45507 0.43
"Gaia EDR3 5522020902519368832" 14.44874 0.72589 2.03117 0.11644 0.62296 0.44192 0.51
"Gaia EDR3 5522023616938746880" 14.48731 0.99036 1.97715 0.10113 0.80957 0.45157 0.54
"Gaia EDR3 5522015164443010560" 14.55827 0.80815 1.96839 0.09827 0.65594 0.42967 0.55
"Gaia EDR3 5522019253251732736" 14.71203 0.65820 1.91890 0.08648 0.40815 0.34476 0.41
"Gaia EDR3 5522020421482998912" 14.82023 0.80318 1.85474 0.07664 0.49338 0.39275 0.44
"Gaia EDR3 5329867879633693952" 14.82283 0.70683 1.86648 0.07872 0.41235 0.35256 0.40
"Gaia EDR3 5522020868159645056" 14.90757 0.79245 1.82166 0.07304 0.48869 0.38043 0.39
"Gaia EDR3 5522019493769907200" 14.98345 0.89251 1.77979 0.07009 0.57806 0.39925 0.48
"Gaia EDR3 5522117006703065344" 14.98871 0.77544 1.79359 0.07173 0.47449 0.36859 0.38
"Gaia EDR3 5522022002030946048" 15.17458 0.95978 1.70507 0.06519 0.53569 0.40292 0.48
"Gaia EDR3 5522026640595278848" 15.47248 0.98440 1.60116 0.06195 0.43844 0.31950 0.38
"Gaia EDR3 5522030690740718976" 15.49267 1.00293 1.59251 0.06195 0.43747 0.31737 0.39
"Gaia EDR3 5329866883201158016" 15.53012 1.05282 1.57771 0.06189 0.49035 0.34575 0.46
"Gaia EDR3 5329962059670111360" 15.55265 1.03271 1.57199 0.06181 0.45256 0.32348 0.42
"Gaia EDR3 5522027155991378560" 15.57768 1.07021 1.56175 0.06187 0.48130 0.33781 0.48
"Gaia EDR3 5329869013505660672" 15.57938 1.30195 1.54034 0.06228 0.73873 0.38856 0.56
"Gaia EDR3 5522031141721168128" 15.68388 1.00154 1.53282 0.06239 0.39959 0.29176 0.41
"Gaia EDR3 5522022276908925568" 15.69681 1.09023 1.52211 0.05951 0.47387 0.32840 0.47
"Gaia EDR3 5329961956590957568" 15.70070 1.07540 1.52213 0.05956 0.45453 0.32042 0.44
"Gaia EDR3 5522014271089861376" 15.75494 1.04028 1.51101 0.05847 0.41504 0.30239 0.40
"Gaia EDR3 5329867673475234048" 15.83387 1.14574 1.48075 0.05654 0.51490 0.34937 0.50
"Gaia EDR3 5329963193541180416" 15.95345 1.29274 1.44300 0.05590 0.70313 0.37845 0.57
"Gaia EDR3 5522020352763538048" 16.10728 1.19383 1.41024 0.05575 0.57034 0.35602 0.42
"Gaia EDR3 5522021555354314880" 16.23441 1.40484 1.37063 0.05503 0.80820 0.30729 0.58
"Gaia EDR3 5329865543171382528" 16.29785 1.11959 1.36933 0.05470 0.57763 0.32326 0.39
"Gaia EDR3 5522021722848025216" 16.38757 1.42742 1.33586 0.05457 0.81307 0.27287 0.59
"Gaia EDR3 5522022036390678400" 16.40390 1.51251 1.32935 0.05508 0.84402 0.24508 0.57
"Gaia EDR3 5329865405732406272" 16.60012 1.24556 1.29374 0.05279 0.60288 0.27201 0.38
"Gaia EDR3 5522020902519370240" 16.66948 1.25580 1.27731 0.05236 0.60087 0.26582 0.37
"Gaia EDR3 5522015576759843072" 16.74442 1.66096 1.24205 0.05394 0.85636 0.18505 0.57
"Gaia EDR3 5522025644163113728" 17.12735 1.51303 1.15622 0.05100 0.71371 0.19990 0.62
"Gaia EDR3 5329865989848013440" 17.15927 1.28065 1.15890 0.04967 0.50890 0.22687 0.36
"Gaia EDR3 5329863271119470976" 11.12889 0.24489 5.84945 0.53078 2.19483 1.44055 0.50
"Gaia EDR3 5329860835887439360" 12.14812 0.22820 4.42487 0.43362 1.32528 0.95602 0.50
"Gaia EDR3 5329864100062576000" 12.49364 0.38595 3.93095 0.37871 1.11841 0.88978 0.48
"Gaia EDR3 5329867673475236096" 12.77829 0.41560 3.55791 0.36582 1.09609 0.81242 0.46
"Gaia EDR3 5329864340580682496" 12.80633 2.20137 3.30015 0.36670 1.62734 0.62935 0.51
"Gaia EDR3 5522040178332184576" 12.86871 0.43811 3.44070 0.35868 1.12316 0.77513 0.45
"Gaia EDR3 5522012553102847232" 13.46330 0.78968 2.74633 0.30271 1.09473 0.62721 0.54
"Gaia EDR3 5329854857292900992" 13.76885 0.38601 2.52228 0.25483 0.54951 0.46853 0.44
"Gaia EDR3 5329848908748857600" 14.11265 0.42784 2.26666 0.17831 0.49703 0.43479 0.44
"Gaia EDR3 5329862656953462528" 14.25166 0.58261 2.16502 0.15196 0.55288 0.44305 0.40
"Gaia EDR3 5522012518743107584" 14.43234 0.95710 2.00812 0.11312 0.81691 0.45954 0.54
"Gaia EDR3 5329864581098907904" 14.50487 0.66014 2.01290 0.11154 0.49729 0.41553 0.39
"Gaia EDR3 5329862038478161792" 15.05694 0.77633 1.76830 0.06833 0.46819 0.35749 0.39
"Gaia EDR3 5329860148692368640" 15.13694 0.84002 1.73152 0.06822 0.45082 0.35675 0.38
"Gaia EDR3 5522013755693739904" 15.66086 1.07530 1.53442 0.06232 0.46831 0.32871 0.45
"Gaia EDR3 5522039388058176256" 15.79155 1.05238 1.49845 0.05801 0.41220 0.30249 0.40
"Gaia EDR3 5329855922444747776" 15.90857 0.96385 1.47287 0.05595 0.39248 0.28250 0.45
"Gaia EDR3 5522019798703613568" 16.16120 1.12967 1.40113 0.05506 0.53443 0.35207 0.37
"Gaia EDR3 5522030763764007808" 16.20303 1.16904 1.38851 0.05570 0.59123 0.34993 0.36
"Gaia EDR3 5329865268295489408" 16.34985 1.11318 1.35709 0.05465 0.58636 0.31417 0.40
"Gaia EDR3 5522014717766493056" 16.35784 1.30514 1.34791 0.05459 0.72053 0.29846 0.56
"Gaia EDR3 5329867639115490688" 16.44674 1.12631 1.33491 0.05486 0.56594 0.29135 0.41
"Gaia EDR3 5329868772987498112" 16.72907 1.27238 1.26308 0.05252 0.60511 0.25870 0.36
"Gaia EDR3 5522021589714075008" 16.77698 1.60968 1.23734 0.05307 0.84319 0.18761 0.58
"Gaia EDR3 5522026812397087232" 16.81673 1.50688 1.23325 0.05178 0.80352 0.21175 0.63
"Gaia EDR3 5329867531722699648" 17.08753 1.30726 1.17597 0.04933 0.52370 0.22917 0.33
"Gaia EDR3 5522025124462236672" 17.35240 1.56985 1.09315 0.04871 0.66057 0.19764 0.60
"Gaia EDR3 5522021654128561152" 14.72823 1.10192 1.85301 0.07713 0.77155 0.45275 0.54
"Gaia EDR3 5329864478019729280" 15.41649 1.12913 1.60517 0.06200 0.67489 0.40986 0.57
"Gaia EDR3 5522014442888535808" 16.68922 1.30915 1.27109 0.05237 0.63933 0.26730 0.43
"Gaia EDR3 5522019218892021504" 17.16702 1.50483 1.14657 0.05063 0.69282 0.20252 0.62
"Gaia EDR3 5522020868159646720" 17.30463 1.41709 1.11424 0.04822 0.54675 0.21205 0.34
"Gaia EDR3 5522021486624482304" 17.60408 1.58776 1.03249 0.03996 0.59240 0.19535 0.55
"Gaia EDR3 5329863619026351616" 15.70497 1.03109 1.52478 0.06082 0.41485 0.30195 0.40
"Gaia EDR3 5329868837392864000" 16.76461 1.26406 1.25521 0.05254 0.59653 0.25631 0.36
"Gaia EDR3 5522025850321538688" 17.49843 1.67309 1.05038 0.04318 0.66545 0.18455 0.59
"Gaia EDR3 5522022517427118080" 17.26341 1.73846 1.10442 0.05052 0.73759 0.18889 0.57
"Gaia EDR3 5329860487980594816" 17.40577 1.40863 1.08729 0.04652 0.51012 0.21174 0.29
"Gaia EDR3 5329867840960387712" 17.45472 1.42112 1.07421 0.04447 0.51354 0.20961 0.29
"Gaia EDR3 5522025781602069120" 16.50035 1.31834 1.31515 0.05440 0.70159 0.27845 0.56
"Gaia EDR3 5329862755723379584" 16.98853 1.24028 1.20316 0.04947 0.51611 0.22487 0.38
"Gaia EDR3 5522018561752041472" 17.23529 1.41900 1.13295 0.04920 0.55900 0.21974 0.40
"Gaia EDR3 5329865195264737408" 17.24757 1.26949 1.13559 0.04934 0.49929 0.21843 0.38
"Gaia EDR3 5522021005598577920" 17.40572 1.43773 1.08624 0.04657 0.52852 0.21106 0.32
"Gaia EDR3 5522022478762305408" 17.47689 1.55578 1.06255 0.04336 0.61927 0.19323 0.58
"Gaia EDR3 5522014580327430272" 17.61431 1.70996 1.02358 0.03943 0.64812 0.18638 0.59
"Gaia EDR3 5329863000551063808" 15.69230 0.97338 1.53272 0.06241 0.38137 0.28284 0.43
"Gaia EDR3 5522014545967737216" 15.30343 1.15836 1.63771 0.06271 0.71887 0.43023 0.57
"Gaia EDR3 5522032653549608960" 15.83205 1.19142 1.47833 0.05622 0.59847 0.37744 0.57
"Gaia EDR3 5522015641175793152" 16.57163 1.31919 1.29716 0.05238 0.68492 0.27306 0.53
"Gaia EDR3 5329861179484894080" 16.76662 1.11711 1.26059 0.05254 0.55230 0.24323 0.44
"Gaia EDR3 5522026705010261376" 17.67122 1.76477 1.01050 0.03744 0.65037 0.18084 0.58
"Gaia EDR3 5522018458672813056" 18.26325 1.74769 0.92544 0.03091 0.51804 0.19630 0.52
"Gaia EDR3 5522038490400641024" 17.52558 1.47149 1.05509 0.04167 0.53545 0.19392 0.33
"Gaia EDR3 5522015061363741824" 17.55824 1.77795 1.03192 0.04172 0.67708 0.17809 0.57
"Gaia EDR3 5329851386959584768" 15.78997 0.93107 1.50902 0.05892 0.35452 0.26404 0.45
"Gaia EDR3 5522040350130867328" 15.87330 1.20450 1.46765 0.05453 0.60252 0.37768 0.57
"Gaia EDR3 5329959551408963712" 16.52806 1.25271 1.31089 0.05405 0.62110 0.27405 0.39
"Gaia EDR3 5522018428618093696" 17.59724 1.43035 1.04040 0.03957 0.50111 0.19589 0.30
"Gaia EDR3 5522035642846844288" 14.28580 0.72175 2.12406 0.14545 0.70347 0.49076 0.57
"Gaia EDR3 5522017981941477888" 17.74938 1.66872 1.00118 0.03542 0.59535 0.19153 0.59
"Gaia EDR3 5329959413970009344" 14.17405 0.57401 2.21306 0.16714 0.54820 0.45315 0.39
"Gaia EDR3 5522032275592504192" 17.30754 1.23282 1.12082 0.04886 0.49964 0.21331 0.41
"Gaia EDR3 5522022169524704896" 18.25576 1.84811 0.92383 0.03204 0.57926 0.19098 0.62
"Gaia EDR3 5522038078084657408" 17.10049 1.53411 1.16232 0.05138 0.73673 0.20137 0.62
"Gaia EDR3 5522118106214674816" 14.72972 0.94351 1.87365 0.08063 0.67730 0.46240 0.56
"Gaia EDR3 5522038700863421184" 14.75422 0.64443 1.90204 0.08589 0.40172 0.34404 0.42
"Gaia EDR3 5329866470884214272" 16.91004 1.52850 1.21037 0.05184 0.77575 0.22456 0.62
