# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522020009165982080" 6.28613 3.01670 7.42986 1.55659 4.08195 2.22072 0.54
"Gaia EDR3 5522014545967742464" 10.36849 0.44713 6.41682 1.08771 2.72782 1.61994 0.55
"Gaia EDR3 5329864409300143616" 11.30355 0.27433 5.09836 0.85949 1.68477 1.17481 0.56
"Gaia EDR3 5522021555354312064" 11.45348 0.86012 4.74131 0.76797 1.80685 1.09786 0.52
"Gaia EDR3 5329868738627041408" 12.38768 0.36688 3.53616 0.48343 1.05693 0.78582 0.49
"Gaia EDR3 5522116830603381120" 12.39562 0.69259 3.47940 0.47540 1.30984 0.82286 0.53
"Gaia EDR3 5522118243650501632" 13.06990 0.43821 2.74008 0.36766 0.76772 0.58995 0.45
"Gaia EDR3 5522023509554943872" 13.07542 0.80512 2.68732 0.35048 1.06836 0.61443 0.53
"Gaia EDR3 5522022311268665344" 13.39323 0.53876 2.41067 0.28782 0.77109 0.52720 0.49
"Gaia EDR3 5329866745762183040" 13.46087 0.48137 2.35714 0.27231 0.70768 0.51877 0.44
"Gaia EDR3 5522014958284517632" 13.49840 0.54336 2.32251 0.26786 0.75451 0.52739 0.48
"Gaia EDR3 5522037738790973056" 13.79883 0.75466 2.06425 0.21002 0.81854 0.48607 0.56
"Gaia EDR3 5522018806575192704" 13.81005 0.85813 2.04185 0.21229 0.87979 0.48455 0.55
"Gaia EDR3 5522020902519373952" 13.97051 0.59842 1.96386 0.19056 0.56644 0.41337 0.48
"Gaia EDR3 5522026537516530048" 14.05280 0.74969 1.89171 0.18443 0.71168 0.45268 0.55
"Gaia EDR3 5522021486634858368" 14.09226 0.88332 1.84823 0.17897 0.79838 0.44559 0.56
"Gaia EDR3 5522121370389801472" 14.14197 0.84275 1.82695 0.17428 0.74058 0.43238 0.56
"Gaia EDR3 5522021177397239296" 14.23907 0.61625 1.80169 0.16395 0.49732 0.37218 0.44
"Gaia EDR3 5522020902519368832" 14.44874 0.72589 1.68347 0.14791 0.50773 0.36168 0.47
"Gaia EDR3 5522023616938746880" 14.48731 0.99036 1.63099 0.14123 0.74181 0.39966 0.57
"Gaia EDR3 5522015164443010560" 14.55827 0.80815 1.62579 0.13810 0.54512 0.36363 0.50
"Gaia EDR3 5522019253251732736" 14.71203 0.65820 1.58481 0.13095 0.39912 0.30408 0.43
"Gaia EDR3 5522020421482998912" 14.82023 0.80318 1.52588 0.12650 0.47328 0.33526 0.45
"Gaia EDR3 5329867879633693952" 14.82283 0.70683 1.53750 0.12980 0.41803 0.30948 0.43
"Gaia EDR3 5522020868159645056" 14.90757 0.79245 1.49857 0.12269 0.46106 0.32599 0.43
"Gaia EDR3 5522019493769907200" 14.98345 0.89251 1.46328 0.12009 0.53813 0.34673 0.46
"Gaia EDR3 5522117006703065344" 14.98871 0.77544 1.47432 0.12103 0.45080 0.31568 0.42
"Gaia EDR3 5522022002030946048" 15.17458 0.95978 1.39924 0.11429 0.57970 0.32972 0.45
"Gaia EDR3 5522026640595278848" 15.47248 0.98440 1.31620 0.10610 0.58249 0.28248 0.40
"Gaia EDR3 5522030690740718976" 15.49267 1.00293 1.31015 0.10542 0.58709 0.27625 0.41
"Gaia EDR3 5329866883201158016" 15.53012 1.05282 1.29683 0.10432 0.61362 0.27853 0.43
"Gaia EDR3 5329962059670111360" 15.55265 1.03271 1.29190 0.10376 0.59602 0.27393 0.41
"Gaia EDR3 5522027155991378560" 15.57768 1.07021 1.28262 0.10283 0.61829 0.27368 0.43
"Gaia EDR3 5329869013505660672" 15.57938 1.30195 1.26703 0.10031 0.76166 0.24802 0.58
"Gaia EDR3 5522031141721168128" 15.68388 1.00154 1.26123 0.10051 0.56944 0.26410 0.39
"Gaia EDR3 5522022276908925568" 15.69681 1.09023 1.25126 0.09900 0.60193 0.26689 0.42
"Gaia EDR3 5329961956590957568" 15.70070 1.07540 1.25150 0.09920 0.59392 0.26797 0.41
"Gaia EDR3 5522014271089861376" 15.75494 1.04028 1.24022 0.09850 0.56233 0.26387 0.39
"Gaia EDR3 5329867673475234048" 15.83387 1.14574 1.21478 0.09803 0.60366 0.25901 0.44
"Gaia EDR3 5329963193541180416" 15.95345 1.29274 1.17755 0.09531 0.67174 0.25050 0.57
"Gaia EDR3 5522020352763538048" 16.10728 1.19383 1.14724 0.09237 0.56803 0.23786 0.44
"Gaia EDR3 5522021555354314880" 16.23441 1.40484 1.10774 0.09071 0.65177 0.21615 0.58
"Gaia EDR3 5329865543171382528" 16.29785 1.11959 1.10744 0.08994 0.51416 0.21422 0.39
"Gaia EDR3 5522021722848025216" 16.38757 1.42742 1.07423 0.08808 0.62665 0.20981 0.57
"Gaia EDR3 5522022036390678400" 16.40390 1.51251 1.06707 0.08808 0.65683 0.20333 0.58
"Gaia EDR3 5329865405732406272" 16.60012 1.24556 1.03807 0.08556 0.49658 0.20254 0.39
"Gaia EDR3 5522020902519370240" 16.66948 1.25580 1.02226 0.08463 0.48637 0.20071 0.38
"Gaia EDR3 5522015576759843072" 16.74442 1.66096 0.98942 0.08505 0.64540 0.18010 0.58
"Gaia EDR3 5522025644163113728" 17.12735 1.51303 0.92369 0.08096 0.51294 0.18381 0.51
"Gaia EDR3 5329865989848013440" 17.15927 1.28065 0.92800 0.08019 0.42334 0.18781 0.39
"Gaia EDR3 5329863271119470976" 11.12889 0.24489 5.39885 0.89568 1.82184 1.28098 0.54
"Gaia EDR3 5329860835887439360" 12.14812 0.22820 3.86187 0.51658 1.11641 0.83089 0.48
"Gaia EDR3 5329864100062576000" 12.49364 0.38595 3.39829 0.46748 1.05207 0.78714 0.48
"Gaia EDR3 5329867673475236096" 12.77829 0.41560 3.04897 0.41119 0.91445 0.67527 0.48
"Gaia EDR3 5329864340580682496" 12.80633 2.20137 2.82295 0.39936 1.34424 0.59120 0.51
"Gaia EDR3 5522040178332184576" 12.86871 0.43811 2.94284 0.39557 0.87805 0.64006 0.48
"Gaia EDR3 5522012553102847232" 13.46330 0.78968 2.32449 0.27153 0.95856 0.54225 0.54
"Gaia EDR3 5329854857292900992" 13.76885 0.38601 2.13064 0.21912 0.50586 0.40777 0.45
"Gaia EDR3 5329848908748857600" 14.11265 0.42784 1.89879 0.17863 0.44073 0.34723 0.45
"Gaia EDR3 5329862656953462528" 14.25166 0.58261 1.79963 0.16275 0.47086 0.36147 0.43
"Gaia EDR3 5522012518743107584" 14.43234 0.95710 1.65947 0.14858 0.73360 0.39840 0.57
"Gaia EDR3 5329864581098907904" 14.50487 0.66014 1.66889 0.14557 0.44821 0.32458 0.43
"Gaia EDR3 5329862038478161792" 15.05694 0.77633 1.45224 0.11848 0.45819 0.31732 0.42
"Gaia EDR3 5329860148692368640" 15.13694 0.84002 1.42004 0.11633 0.49916 0.31155 0.42
"Gaia EDR3 5522013755693739904" 15.66086 1.07530 1.26255 0.10051 0.60435 0.26701 0.41
"Gaia EDR3 5522039388058176256" 15.79155 1.05238 1.23012 0.09821 0.55931 0.25832 0.39
"Gaia EDR3 5329855922444747776" 15.90857 0.96385 1.20618 0.09723 0.52186 0.24871 0.41
"Gaia EDR3 5522019798703613568" 16.16120 1.12967 1.13733 0.09104 0.52782 0.22935 0.40
"Gaia EDR3 5522030763764007808" 16.20303 1.16904 1.12593 0.09066 0.54161 0.22507 0.41
"Gaia EDR3 5329865268295489408" 16.34985 1.11318 1.09564 0.08909 0.51236 0.21431 0.39
"Gaia EDR3 5522014717766493056" 16.35784 1.30514 1.08649 0.08861 0.57317 0.21441 0.49
"Gaia EDR3 5329867639115490688" 16.44674 1.12631 1.07451 0.08782 0.49908 0.20737 0.39
"Gaia EDR3 5329868772987498112" 16.72907 1.27238 1.00951 0.08409 0.47759 0.19470 0.38
"Gaia EDR3 5522021589714075008" 16.77698 1.60968 0.98526 0.08406 0.63398 0.18353 0.59
"Gaia EDR3 5522026812397087232" 16.81673 1.50688 0.98206 0.08336 0.58901 0.19556 0.56
"Gaia EDR3 5329867531722699648" 17.08753 1.30726 0.93934 0.08085 0.44526 0.19138 0.38
"Gaia EDR3 5522025124462236672" 17.35240 1.56985 0.88531 0.08049 0.48341 0.17855 0.50
"Gaia EDR3 5522021654128561152" 14.72823 1.10192 1.52288 0.12738 0.76457 0.37255 0.58
"Gaia EDR3 5329864478019729280" 15.41649 1.12913 1.32069 0.10593 0.68874 0.29164 0.53
