# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522209846717168256" 11.58098 0.38390 5.50841 1.23828 1.94440 1.35604 0.58
"Gaia EDR3 5522209606198977152" 11.78475 0.51283 5.23789 1.10493 1.70623 1.21222 0.59
"Gaia EDR3 5522210976281286144" 11.86906 0.38663 5.14292 1.05137 1.63540 1.18518 0.57
"Gaia EDR3 5522210087235298816" 12.55081 0.49192 4.24518 0.61574 1.30654 0.97804 0.53
"Gaia EDR3 5522209842415261312" 12.74031 0.53047 4.00409 0.56158 1.28448 0.88638 0.54
"Gaia EDR3 5522207334149027200" 12.74710 0.54917 3.99046 0.55730 1.30510 0.89134 0.55
"Gaia EDR3 5522210014208615680" 12.77680 0.64220 3.93706 0.53455 1.34984 0.87597 0.55
"Gaia EDR3 5522209606199436800" 12.81922 0.55058 3.90029 0.52468 1.31027 0.86649 0.54
"Gaia EDR3 5522209984156125312" 12.90759 0.58611 3.79646 0.50571 1.31900 0.85152 0.55
"Gaia EDR3 5522210121595047680" 12.94430 0.51512 3.75483 0.50666 1.24780 0.84467 0.52
"Gaia EDR3 5522211461624887040" 13.31307 0.61165 3.28647 0.44666 1.10126 0.75456 0.57
"Gaia EDR3 5522209777997707776" 13.34019 0.55877 3.24960 0.43622 1.03686 0.73554 0.55
"Gaia EDR3 5522209984156125184" 13.53556 0.59793 3.03520 0.39795 0.93173 0.67620 0.56
"Gaia EDR3 5522210190314543872" 14.19836 0.75821 2.38748 0.24235 0.81136 0.52549 0.57
"Gaia EDR3 5522211014948240128" 14.20529 0.69131 2.38938 0.24309 0.71532 0.50802 0.54
"Gaia EDR3 5522210224674267136" 14.23639 0.64000 2.37154 0.23388 0.65450 0.48194 0.50
"Gaia EDR3 5522210980588498816" 14.37373 0.61029 2.27019 0.20884 0.58606 0.44201 0.47
"Gaia EDR3 5522210155954802688" 14.46055 0.75550 2.18436 0.18151 0.68777 0.45390 0.55
"Gaia EDR3 5522210121595044864" 14.54016 0.67844 2.14596 0.17057 0.56820 0.41986 0.47
"Gaia EDR3 5522210911869001600" 14.67382 0.70898 2.04806 0.15258 0.53282 0.40307 0.48
"Gaia EDR3 5522206582542096640" 14.69150 1.05014 1.99099 0.14598 0.89187 0.47930 0.57
"Gaia EDR3 5522212664215690240" 14.69567 0.78045 2.02511 0.14894 0.59563 0.42462 0.53
"Gaia EDR3 5522209640558713344" 14.78531 0.93175 1.95621 0.14135 0.76399 0.46912 0.59
"Gaia EDR3 5522209911129590784" 14.91984 0.78519 1.89948 0.12590 0.49534 0.38265 0.48
"Gaia EDR3 5522210052875579264" 14.98395 0.82734 1.86336 0.12091 0.50111 0.38332 0.49
"Gaia EDR3 5522209331321089536" 15.17431 0.99684 1.74808 0.10635 0.59687 0.39301 0.56
"Gaia EDR3 5522209812357426560" 15.34897 1.03866 1.67948 0.09938 0.56439 0.38241 0.54
"Gaia EDR3 5522211083667703936" 15.47765 1.00415 1.63991 0.09403 0.48534 0.35168 0.48
"Gaia EDR3 5522211736502760832" 15.55099 1.08600 1.60386 0.09191 0.54586 0.38102 0.52
"Gaia EDR3 5522213351410435200" 15.71984 1.21887 1.53795 0.09079 0.61249 0.39896 0.56
"Gaia EDR3 5522399409390773120" 15.85031 1.07479 1.51432 0.08893 0.45164 0.33851 0.45
"Gaia EDR3 5522209979854257920" 15.85300 1.17376 1.50188 0.08989 0.52727 0.36879 0.51
"Gaia EDR3 5522209434400298752" 15.93617 1.23801 1.47025 0.08648 0.56218 0.36768 0.54
"Gaia EDR3 5522211663476293120" 16.00816 1.19410 1.45867 0.08718 0.51980 0.34105 0.49
"Gaia EDR3 5522210018515842048" 16.03699 1.27441 1.44210 0.08766 0.59506 0.35583 0.55
"Gaia EDR3 5522211461624886656" 16.18775 1.28390 1.39787 0.08789 0.61932 0.34102 0.54
"Gaia EDR3 5522112161986285440" 16.22991 1.19755 1.39453 0.08618 0.56164 0.32681 0.44
"Gaia EDR3 5522210843149535232" 16.23708 1.15296 1.39758 0.08653 0.54173 0.32391 0.43
"Gaia EDR3 5522206960499177216" 16.24075 1.21439 1.39070 0.08582 0.57929 0.32604 0.44
"Gaia EDR3 5522402776645096192" 16.34034 1.21199 1.36401 0.08361 0.59854 0.30820 0.43
"Gaia EDR3 5522195553066221440" 16.54889 1.34116 1.30206 0.07587 0.66437 0.27288 0.50
"Gaia EDR3 5522210190314536064" 16.57803 1.32788 1.29512 0.07608 0.65082 0.27170 0.48
"Gaia EDR3 5522209640558709632" 16.63928 1.42470 1.27426 0.07384 0.70793 0.26607 0.55
"Gaia EDR3 5522210808789771008" 16.69412 1.28396 1.26996 0.07447 0.60456 0.26514 0.42
"Gaia EDR3 5522210052875583616" 16.83450 1.33590 1.23535 0.07268 0.59998 0.25439 0.43
"Gaia EDR3 5522210087235298304" 16.83624 1.28271 1.23780 0.07341 0.57444 0.25337 0.42
"Gaia EDR3 5522209777997702784" 16.87520 1.34298 1.22590 0.07279 0.60837 0.25102 0.43
"Gaia EDR3 5522206891779717632" 16.91247 1.35531 1.21763 0.07324 0.60559 0.25032 0.43
"Gaia EDR3 5522209846717161984" 16.94847 1.34289 1.21118 0.07318 0.58869 0.24956 0.43
"Gaia EDR3 5522211599063834880" 17.13607 1.44818 1.16620 0.07228 0.60673 0.24562 0.49
"Gaia EDR3 5522304713956761984" 17.44293 1.34132 1.11302 0.07472 0.50782 0.22054 0.42
"Gaia EDR3 5522195273881215488" 17.58695 1.61185 1.07637 0.07679 0.58241 0.21029 0.52
"Gaia EDR3 5522211663476281088" 17.89592 1.66581 1.02127 0.07626 0.53454 0.21038 0.50
"Gaia EDR3 5522213381463293824" 18.04044 1.73998 0.99605 0.07768 0.52782 0.20269 0.51
"Gaia EDR3 5522193354042930176" 18.85981 2.66877 0.87893 0.06880 0.54727 0.17370 0.55
"Gaia EDR3 5522209640558713984" 12.82086 0.63990 3.89212 0.52335 1.35841 0.87032 0.55
"Gaia EDR3 5522206891779726848" 15.51666 1.12645 1.61038 0.09150 0.58605 0.39020 0.55
"Gaia EDR3 5522209709278177664" 17.15531 1.40861 1.16376 0.07233 0.57938 0.24037 0.45
"Gaia EDR3 5522211113720469248" 17.84513 1.56224 1.03236 0.07637 0.50117 0.21078 0.43
"Gaia EDR3 5522308184290163712" 14.21532 0.62978 2.38812 0.24207 0.65098 0.48477 0.49
"Gaia EDR3 5522407209051442560" 14.99829 0.89110 1.84747 0.11960 0.56775 0.40830 0.54
"Gaia EDR3 5522212561136448256" 15.95080 1.21556 1.46870 0.08676 0.54135 0.36017 0.53
"Gaia EDR3 5522209846717164672" 16.40684 1.38385 1.33077 0.07891 0.71626 0.29469 0.57
"Gaia EDR3 5522210499552134656" 16.72374 1.31022 1.26231 0.07450 0.60529 0.26451 0.43
"Gaia EDR3 5522195686205698944" 17.05581 1.38496 1.18535 0.07397 0.59026 0.23859 0.44
"Gaia EDR3 5522210048568536576" 17.33903 1.47047 1.12711 0.07369 0.56257 0.22545 0.46
"Gaia EDR3 5522116422587209216" 17.34364 1.44804 1.12700 0.07371 0.55330 0.22613 0.43
"Gaia EDR3 5522206273304386048" 17.80285 1.62136 1.03729 0.07702 0.52903 0.21444 0.48
"Gaia EDR3 5522208884644597504" 18.41075 1.66444 0.93962 0.07576 0.43955 0.18733 0.41
"Gaia EDR3 5522194999003298816" 18.83763 1.87881 0.87815 0.06942 0.44967 0.18073 0.45
"Gaia EDR3 5522209327013975936" 18.93043 2.03305 0.87476 0.06700 0.48161 0.18269 0.52
"Gaia EDR3 5522115872837922304" 16.75249 1.29239 1.25619 0.07411 0.59671 0.26326 0.42
"Gaia EDR3 5522399409390774784" 16.80129 1.23173 1.24818 0.07326 0.57296 0.26083 0.43
"Gaia EDR3 5522209636251661568" 17.70963 1.60025 1.05402 0.07688 0.54023 0.21089 0.48
"Gaia EDR3 5522209223934736384" 18.00297 1.70304 1.00251 0.07748 0.51831 0.20369 0.50
"Gaia EDR3 5522209915436672000" 17.18163 1.49540 1.15610 0.07255 0.62342 0.23964 0.52
"Gaia EDR3 5522209949796387840" 17.59629 1.57011 1.07634 0.07684 0.55999 0.21094 0.48
"Gaia EDR3 5522206376374078080" 17.79421 1.53948 1.04159 0.07673 0.50225 0.20576 0.42
"Gaia EDR3 5522195965374055808" 17.90612 1.53743 1.02398 0.07615 0.47827 0.20767 0.41
"Gaia EDR3 5522211422958097024" 18.40896 1.93618 0.93217 0.07634 0.52641 0.19062 0.56
"Gaia EDR3 5522209704971148928" 18.62016 1.81601 0.90545 0.07330 0.46117 0.18097 0.45
"Gaia EDR3 5522207265429657600" 18.68536 1.79589 0.89696 0.07239 0.44652 0.17919 0.43
"Gaia EDR3 5522209984156123904" 14.31006 0.84750 2.28861 0.21345 0.88580 0.52366 0.58
"Gaia EDR3 5522210018515846400" 16.99903 1.38085 1.19858 0.07397 0.60528 0.24545 0.45
"Gaia EDR3 5522209430093222016" 17.42316 1.66126 1.10413 0.07640 0.64280 0.21918 0.57
"Gaia EDR3 5522209881076922496" 16.66971 1.31273 1.27360 0.07379 0.62893 0.26777 0.44
"Gaia EDR3 5522206891770307328" 17.62080 1.60871 1.07067 0.07646 0.57065 0.21117 0.51
"Gaia EDR3 5522116109045388416" 18.53846 1.82144 0.91622 0.07439 0.47305 0.18618 0.47
"Gaia EDR3 5522209258294478592" 18.65809 2.04165 0.89310 0.07343 0.52085 0.18367 0.58
"Gaia EDR3 5522116628752133888" 17.11005 1.37281 1.17466 0.07235 0.57479 0.24328 0.43
"Gaia EDR3 5522211491677586816" 17.69529 1.57966 1.05783 0.07685 0.53599 0.21043 0.47
