EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522212045740462080,264.1638227983,-1.5537283551,130.74835512963,-44.91204718608,0.5136,0.0218,-4.27,0.022,3.069,0.025,14.98517,0.002787,1.100421,,,0.008502
Gaia EDR3 5522212114450515328,264.1570606234,-1.5198340086,130.78011252983,-44.88580836818,0.5351,0.0671,-4.114,0.07,3.081,0.074,17.375935,0.002936,1.647901,,,0.023049
Gaia EDR3 5522212114459950848,264.158034035,-1.5246666557,130.77559442026,-44.8895573236,0.405,0.0483,-4.361,0.048,3.061,0.05,16.664465,0.002817,1.364601,,,0.011104
Gaia EDR3 5522212114459962624,264.166913812,-1.5225421296,130.78568929575,-44.89522862516,0.5005,0.0271,-4.354,0.028,3.101,0.03,15.660459,0.002779,1.198967,,,0.007766
Gaia EDR3 5522212148819668224,264.1496914495,-1.5421303281,130.74893354,-44.89377437339,0.4772,0.0289,-4.386,0.03,2.975,0.032,15.752789,0.002784,1.31109,,,0.008377
Gaia EDR3 5522212148819670144,264.1519922111,-1.5426348258,130.75037658846,-44.89589549816,0.5364,0.0376,-4.255,0.039,2.976,0.043,15.596566,0.002791,1.331232,,,0.00783
Gaia EDR3 5522212148819677568,264.155234972,-1.5379473793,130.75840723851,-44.89555342398,0.4957,0.0322,-4.395,0.034,2.973,0.039,15.993969,0.002785,1.337617,,,0.008018
Gaia EDR3 5522212178872422528,264.1491344084,-1.5296274504,130.76233467451,-44.88562016686,0.4132,0.0543,-4.452,0.056,2.985,0.068,17.07103,0.002865,1.504873,,,0.01312
Gaia EDR3 5522212183179425152,264.1545515189,-1.5223530254,130.77513010572,-44.88539030876,0.2653,0.0253,-4.599,0.026,3.059,0.03,15.40599,0.002788,2.162451,,,0.008389
Gaia EDR3 5522212217539116160,264.1419761656,-1.5734246985,130.70744449112,-44.90700903048,0.4979,0.0176,-4.478,0.02,2.924,0.019,14.672264,0.002766,0.947033,,,0.006897
Gaia EDR3 5522212217539119360,264.139637671,-1.5644907902,130.71533804327,-44.89965920248,0.3008,0.1153,-4.451,0.123,2.419,0.147,17.909681,0.004596,0.968621,,,0.25792
Gaia EDR3 5522212217539119616,264.1434704254,-1.5714776609,130.71090916503,-44.90698414558,0.5262,0.0263,-4.355,0.03,2.915,0.028,15.591299,0.002776,1.306577,,,0.007994
Gaia EDR3 5522212217539132416,264.1532573788,-1.5702809399,130.72075920469,-44.91394700121,0.4838,0.027,-4.43,0.029,3.042,0.031,15.756772,0.002783,1.354828,,,0.008456
Gaia EDR3 5522212217539132928,264.1549096562,-1.5727926818,130.71940593935,-44.91679628996,0.5415,0.0132,-4.492,0.014,3.079,0.015,13.24865,0.002762,1.036858,,,0.006675
Gaia EDR3 5522212251898875392,264.1514202608,-1.5592127563,130.73146027038,-44.90567412286,0.6199,0.0214,-4.318,0.022,2.891,0.024,14.418843,0.002765,1.18992,,,0.006778
Gaia EDR3 5522212281951628160,264.1401941478,-1.5721413096,130.70731994429,-44.90481528918,0.3065,0.0757,-4.268,0.087,2.75,0.083,17.738495,0.002918,1.670256,,,0.02928
Gaia EDR3 5522212286258585984,264.1325657738,-1.5682597798,130.70499508655,-44.8964186939,0.4155,0.0742,-4.568,0.079,3.346,0.081,17.707478,0.003056,1.627607,,,0.036049
Gaia EDR3 5522212286258586880,264.1289288371,-1.5581390572,130.71307619343,-44.8873153374,0.545,0.0092,-4.353,0.009,3.117,0.01,11.835342,0.00276,1.907653,25.06,0.41,0.006709
Gaia EDR3 5522212286258587392,264.1364174608,-1.5704856888,130.70587316894,-44.90082234662,0.4852,0.0205,-4.673,0.022,2.929,0.024,15.008925,0.002769,1.239985,,,0.007321
Gaia EDR3 5522212286258597248,264.1384381338,-1.5611025001,130.71805912342,-44.89662555335,0.5037,0.0269,-4.34,0.028,2.951,0.029,15.704063,0.002787,1.317336,,,0.008061
Gaia EDR3 5522212316311382528,264.1245625318,-1.5518616627,130.71625081187,-44.88000803281,0.3891,0.1056,-4.397,0.107,3.117,0.131,18.141476,0.003099,1.688082,,,0.034206
Gaia EDR3 5522212350671113216,264.1457586726,-1.5380219571,130.75007249234,-44.88814559027,0.5596,0.0695,-4.225,0.071,2.863,0.076,17.491865,0.002915,1.676338,,,0.017801
Gaia EDR3 5522212350671122688,264.1321004141,-1.5343525081,130.74225770062,-44.87513724027,0.4786,0.0267,-4.312,0.028,3.096,0.03,15.751578,0.002776,1.373227,,,0.007503
Gaia EDR3 5522212354978092800,264.1419381489,-1.5381043219,130.74665471446,-44.88519110872,0.5335,0.1207,-4.305,0.123,2.815,0.149,18.279922,0.003248,1.863913,,,0.041511
Gaia EDR3 5522212385030548864,264.1324555401,-1.5275067768,130.75016841004,-44.87119238678,0.5644,0.0158,-4.397,0.017,2.977,0.02,11.60198,0.002766,1.939295,29.88,2.22,0.006742
Gaia EDR3 5522212389337833856,264.1388079741,-1.5268727059,130.75640234499,-44.87579782105,0.5157,0.0577,-4.308,0.061,3.126,0.065,17.18115,0.00287,1.486423,,,0.01585
Gaia EDR3 5522212389337834240,264.1380199189,-1.5250258011,130.7577669556,-44.87403813313,0.5081,0.0107,-4.361,0.011,3.148,0.013,13.253492,0.002762,0.870084,,,0.006651
Gaia EDR3 5522212389337837824,264.1402620526,-1.5221911913,130.76286622296,-44.87405215221,0.5738,0.0573,-4.248,0.061,3.213,0.07,15.790822,0.002862,1.425144,,,0.008014
Gaia EDR3 5522212389338300800,264.1269614057,-1.5172070848,130.75682093404,-44.86051454946,0.5234,0.0846,-4.396,0.09,2.874,0.103,17.747358,0.002953,1.794811,,,0.02448
Gaia EDR3 5522212419390609920,264.1168033428,-1.5290762834,130.73480440551,-44.85984778419,0.532,0.0626,-4.469,0.065,2.996,0.069,17.35113,0.002876,1.761852,,,0.017863
