EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522037498273034880,264.6607759828,-2.0692489085,130.60643388243,-45.62091870648,0.6636,0.0489,-5.23,0.047,3.176,0.05,16.425705,0.002839,1.30918,,,0.012837
Gaia EDR3 5522037532632857344,264.676456985,-2.0657348162,130.62418719431,-45.63110575586,0.5061,0.0159,-5.417,0.017,3.905,0.017,14.097298,0.002768,0.774634,,,0.006837
Gaia EDR3 5522037562686469120,264.6644918038,-2.0363559962,130.64675661933,-45.60359401624,0.4347,0.1686,-4.938,0.172,3.672,0.218,18.51079,0.003282,1.667372,,,0.047584
Gaia EDR3 5522037566991967872,264.6677982584,-2.040106756,130.64544144125,-45.6085073105,0.6096,0.1307,-4.702,0.124,3.245,0.156,18.074833,0.003359,1.527708,,,0.03654
Gaia EDR3 5522043335122555264,264.6765320393,-1.9888127591,130.7108658243,-45.58377643161,0.6734,0.0871,-4.233,0.103,3.861,0.087,17.718489,0.002977,1.643396,,,0.028791
Gaia EDR3 5522043335125018240,264.6744137899,-1.9820085159,130.71665541773,-45.57791474166,0.3805,0.288,-3.914,0.284,3.822,0.31,18.940495,0.006044,2.909317,,,0.138007
Gaia EDR3 5522043369482300800,264.6686103771,-1.995150117,130.69676304616,-45.58144896481,0.2481,0.0818,-4.119,0.093,3.669,0.08,17.59025,0.002959,1.57151,,,0.024447
Gaia EDR3 5522043442507230464,264.6688887792,-2.0335007508,130.65384030992,-45.60529737487,0.5781,0.0216,-3.487,0.022,3.882,0.022,14.905095,0.002772,1.07947,,,0.007176
Gaia EDR3 5522043541280993792,264.6531523112,-2.0175548821,130.65794911843,-45.58308630313,0.472,0.1179,-3.95,0.119,2.81,0.136,18.04895,0.003087,1.497585,,,0.026798
Gaia EDR3 5522043541281003392,264.6495266288,-2.0156605652,130.65689233082,-45.57906502758,0.5839,0.1403,-3.533,0.14,2.535,0.178,18.300512,0.003352,1.662262,,,0.042824
Gaia EDR3 5522043648665657344,264.6353724398,-1.9902705211,130.67301252149,-45.55228096889,0.4939,0.1222,-4.503,0.116,3.897,0.152,18.058245,0.003201,1.875814,,,0.054132
Gaia EDR3 5522043781799216256,264.6585630127,-1.9649679202,130.72186729652,-45.55493610454,0.2591,0.0453,-3.582,0.046,3.266,0.045,16.554195,0.002823,1.364908,,,0.00983
Gaia EDR3 5522043786092781056,264.6658696667,-1.9777493224,130.71392517738,-45.56856577906,0.4233,0.164,-3.638,0.158,3.196,0.197,18.63293,0.003492,1.694336,,,0.066237
Gaia EDR3 5522043854812312832,264.6764225528,-1.9511561757,130.75311660165,-45.56046784341,0.291,0.2395,-4.212,0.627,2.55,0.669,18.364769,0.004195,,,,
Gaia EDR3 5522043889183852416,264.6589296056,-1.9264171333,130.76551510576,-45.53144584454,0.4321,0.0357,-4.157,0.037,3.371,0.039,16.107391,0.002794,1.201265,,,0.00916
Gaia EDR3 5522043957891510656,264.6556018904,-1.9238190341,130.76550428116,-45.52722550647,0.6107,0.1832,-3.967,0.19,3.551,0.244,18.740896,0.003471,1.897173,,,0.05861
Gaia EDR3 5522043987957648640,264.6500894648,-1.9735071571,130.70480970983,-45.5535330643,0.3219,0.1753,-3.724,0.175,2.526,0.206,18.747812,0.003435,1.748104,,,0.048195
Gaia EDR3 5522044125396655232,264.6375487006,-1.9456782427,130.72505933175,-45.52650758951,0.3808,0.119,-5.09,0.12,2.307,0.138,18.135065,0.00316,1.633354,,,0.037089
Gaia EDR3 5522044125396668544,264.63492449,-1.9367925022,130.73273478066,-45.51896330937,0.2641,0.1946,-4.992,0.212,3.673,0.188,18.86517,0.00359,1.5308,,,0.053399
Gaia EDR3 5522044748177252864,264.6695824232,-1.8799763287,130.82704128771,-45.51115273964,0.3379,0.0739,-3.602,0.088,3.392,0.073,17.560707,0.002919,1.600733,,,0.02486
Gaia EDR3 5522045057414908160,264.668749706,-1.8129075049,130.9015231914,-45.46905054991,0.2642,0.013,-3.589,0.014,3.627,0.014,13.594923,0.002768,0.82656,,,0.006896
Gaia EDR3 5522045091774642688,264.6750324177,-1.8520449699,130.86318108549,-45.49817996802,0.4405,0.0594,-4.671,0.072,3.555,0.06,17.187891,0.002853,1.304283,,,0.015218
Gaia EDR3 5522045160494113024,264.6570986685,-1.8578579945,130.84086202178,-45.48767812342,0.4737,0.0895,-5.03,0.104,3.941,0.09,17.900919,0.002974,1.530666,,,0.018758
Gaia EDR3 5522045224908857728,264.6671986183,-1.8275260011,130.88377168982,-45.47687020779,0.3556,0.0778,-4.567,0.091,3.976,0.078,17.72074,0.002941,1.415274,,,0.02593
Gaia EDR3 5522045259268600192,264.6650248334,-1.8197434125,130.89057964887,-45.47035114433,0.4141,0.0791,-3.942,0.088,3.952,0.082,17.735083,0.003006,1.359558,,,0.022243
Gaia EDR3 5522045259268603520,264.658829937,-1.8205157978,130.88425576919,-45.4659618814,0.4435,0.1069,-5.019,0.116,3.623,0.119,18.102911,0.003083,1.445742,,,0.028477
Gaia EDR3 5522045293628344448,264.6495367861,-1.8232691268,130.87298372876,-45.46036243545,0.4868,0.2136,-3.651,0.23,3.515,0.26,18.821228,0.004709,1.740416,,,0.067671
Gaia EDR3 5522045327988091264,264.6421115795,-1.8117087048,130.87939892925,-45.44738282879,0.277,0.0937,-3.945,0.104,3.836,0.099,17.747675,0.003006,1.443304,,,0.022824
Gaia EDR3 5522045332292810880,264.6530290254,-1.8153059154,130.88498406127,-45.45818379311,0.3673,0.0304,-5.226,0.034,2.504,0.032,15.932074,0.002788,1.374186,,,0.009069
Gaia EDR3 5522045362347238912,264.66383292,-1.9111413664,130.78698985136,-45.52587474881,0.3281,0.1636,-4.54,0.174,2.719,0.187,18.718615,0.00354,1.603596,,,0.044103
Gaia EDR3 5522045366652610304,264.66139025,-1.9111095005,130.78487484989,-45.52393429043,0.4582,0.0227,-5.069,0.025,3.272,0.023,15.293624,0.002772,1.034347,,,0.007498
Gaia EDR3 5522045431066753792,264.638977785,-1.9080920545,130.7685352601,-45.5044465877,0.2951,0.1575,-4.321,0.169,3.805,0.183,18.496206,0.003422,1.591972,,,0.039311
Gaia EDR3 5522045499786234240,264.650462782,-1.8837830891,130.80593158875,-45.49847306377,0.4077,0.0949,-3.81,0.108,3.975,0.095,17.963072,0.003069,1.59906,,,0.030012
Gaia EDR3 5522045538451232384,264.6520866318,-1.8648919769,130.8285579144,-45.48808363561,0.5401,0.0534,-5.247,0.061,3.58,0.051,17.058216,0.002897,1.310984,,,0.018007
Gaia EDR3 5522045602865491200,264.6293540542,-1.8737983357,130.79855586369,-45.47571220803,0.5931,0.1039,-4.899,0.117,2.074,0.117,18.037096,0.003118,1.627583,,,0.03002
Gaia EDR3 5522045607170701056,264.6297320145,-1.8684228135,130.80491881841,-45.47269055025,0.2585,0.0396,-3.881,0.044,3.932,0.041,16.271742,0.002829,1.618789,,,0.01075
Gaia EDR3 5522045641530430848,264.6283160369,-1.9146215907,130.75182333864,-45.50008937747,0.5856,0.014,-4.16,0.015,3.441,0.014,13.888463,0.002773,0.588563,,,0.00674
Gaia EDR3 5522045705944693376,264.6124646079,-1.9116853387,130.74117907996,-45.48580883293,0.6971,0.0695,-4.584,0.08,2.84,0.072,17.391397,0.003097,1.587368,,,0.028285
Gaia EDR3 5522045710249905536,264.6145010616,-1.9098208482,130.7450630424,-45.48626075785,0.4222,0.0244,-4.748,0.027,3.449,0.025,15.385773,0.002772,1.033083,,,0.007813
Gaia EDR3 5522045843383676288,264.6099843596,-1.8799066617,130.77466338448,-45.46425134762,0.4665,0.0519,-4.836,0.056,2.046,0.047,16.719084,0.002827,1.339003,,,0.0103
Gaia EDR3 5522045882036535168,264.6117819115,-1.8684224034,130.78912706569,-45.45857670843,0.6706,0.026,-5.223,0.028,3.736,0.027,15.12806,0.002784,1.082875,,,0.016841
Gaia EDR3 5522046049542593792,264.6407614049,-1.8248853465,130.86344424772,-45.45446607389,0.5627,0.1336,-4.338,0.144,2.494,0.153,18.349913,0.003203,1.552172,,,0.035434
Gaia EDR3 5522046053847308288,264.6301618557,-1.8195646274,130.86007472709,-45.44284889008,0.4458,0.047,-4.743,0.052,3.707,0.054,16.82992,0.002831,1.2367,,,0.011112
Gaia EDR3 5522046122566781824,264.6205063653,-1.8237779224,130.84685467859,-45.43786446731,0.6601,0.0511,-4.821,0.057,3.821,0.052,16.963371,0.002867,1.388014,,,0.012409
Gaia EDR3 5522046191286250752,264.6123606376,-1.847691497,130.81288344197,-45.44623254508,0.3721,0.0196,-3.517,0.024,3.026,0.019,14.934656,0.002774,0.728693,,,0.006922
Gaia EDR3 5522046191286252288,264.6171042193,-1.8498583546,130.81462726912,-45.45129977012,0.3014,0.0824,-3.806,0.097,2.879,0.079,17.78083,0.002955,1.457415,,,0.031928
Gaia EDR3 5522046363084946176,264.602565949,-1.8129655614,130.84318335851,-45.41708460019,0.3609,0.0372,-4.783,0.038,2.213,0.039,16.4522,0.0028,1.2979,,,0.010025
Gaia EDR3 5522084635528114560,264.6240360421,-2.0329141981,130.61506119975,-45.56961701791,0.3119,0.1214,-3.817,0.119,2.57,0.127,18.078323,0.003144,1.663368,,,0.034703
Gaia EDR3 5522084738607306112,264.6101490346,-2.072758306,130.55798889774,-45.58319261921,0.4007,0.1773,-4.173,0.176,3.921,0.195,18.655045,0.003512,1.777941,,,0.042807
Gaia EDR3 5522084772967066240,264.6000012271,-2.0688485676,130.55348305074,-45.57279151061,0.5572,0.0662,-3.569,0.071,3.941,0.068,17.138594,0.002854,1.304087,,,0.014042
Gaia EDR3 5522084841686562688,264.6140281768,-2.0314014403,130.60797061041,-45.5608035301,0.3579,0.0854,-3.487,0.086,3.193,0.096,17.556892,0.002972,1.521536,,,0.020624
Gaia EDR3 5522084876046313344,264.5968628654,-2.042656714,130.58022370836,-45.55420789952,0.4008,0.1927,-4.054,0.184,2.588,0.208,18.682545,0.00376,1.766941,,,0.061143
Gaia EDR3 5522085700680059392,264.576339147,-2.0511000935,130.55270220489,-45.54323004904,0.263,0.1313,-3.531,0.132,3.952,0.152,18.1786,0.003147,1.532804,,,0.035061
Gaia EDR3 5522085876781916160,264.5448349034,-2.0576308788,130.51771656674,-45.52241472863,0.3986,0.2065,-4.004,0.219,3.699,0.243,18.905897,0.003773,1.487785,,,0.071547
Gaia EDR3 5522088831724310656,264.5302628222,-2.0626471687,130.49929614491,-45.51400954711,0.3904,0.1671,-3.474,0.177,2.364,0.194,18.73638,0.003432,1.614496,,,0.053279
Gaia EDR3 5522089102294255232,264.5105596513,-2.0544837637,130.49122320819,-45.49345858594,0.3859,0.1989,-3.714,0.211,2.781,0.217,18.884151,0.003645,1.775593,,,0.059032
Gaia EDR3 5522089175321681408,264.4922164014,-2.0486637238,130.48170950707,-45.47541900598,0.3461,0.0504,-3.579,0.054,3.17,0.054,16.707598,0.002845,1.77871,,,0.01789
Gaia EDR3 5522089278400899200,264.4916458479,-2.0376729269,130.49357604503,-45.46821658291,0.3641,0.0763,-3.77,0.092,3.868,0.083,17.469013,0.002928,1.376728,,,0.023477
Gaia EDR3 5522089312760635648,264.4759345475,-2.0149102939,130.50542150458,-45.44184177177,0.5241,0.0226,-4.205,0.024,3.779,0.027,15.0836,0.002812,0.995356,,,0.007667
Gaia EDR3 5522089312760637056,264.4796355841,-2.0162196619,130.50718920084,-45.44556427025,0.601,0.013,-5.19,0.013,3.479,0.015,13.7909,0.002772,0.560088,,,0.006668
Gaia EDR3 5522089587633445120,264.4619282276,-2.0695498035,130.43169892066,-45.46435561596,0.2459,0.1981,-5.015,0.204,3.079,0.267,18.792953,0.003694,1.715565,,,0.085585
Gaia EDR3 5522090167442238592,264.451133579,-2.0563092209,130.43715879992,-45.44771174045,0.5799,0.1487,-5.18,0.152,2.385,0.185,18.377014,0.00378,1.692249,,,0.037734
Gaia EDR3 5522090236161720960,264.4375265585,-2.0644403037,130.41611276263,-45.44196742814,0.336,0.1447,-4.322,0.154,3.784,0.176,18.595406,0.003348,1.651581,,,0.057302
Gaia EDR3 5522090270521217792,264.4317412545,-2.0403885571,130.43811317194,-45.42263982694,0.373,0.1956,-3.449,0.21,3.743,0.199,18.99561,0.003629,1.609184,,,0.047936
Gaia EDR3 5522090274833283712,264.4328387831,-2.0433708934,130.43571834553,-45.42533653078,0.3339,0.0282,-5.019,0.031,3.142,0.031,15.624393,0.002781,1.312181,,,0.008083
Gaia EDR3 5522090274833284736,264.4338166403,-2.0436635095,130.43624402909,-45.42628758024,0.4821,0.0202,-3.739,0.022,2.315,0.023,15.040092,0.002789,1.098223,,,0.007447
Gaia EDR3 5522090412265801600,264.4224964351,-2.0101613964,130.46401503719,-45.39678667842,0.4316,0.1591,-3.671,0.174,3.169,0.199,18.696114,0.003325,1.661009,,,0.038312
Gaia EDR3 5522090412271941248,264.4245373633,-2.0112529299,130.46457235898,-45.39906671324,0.4668,0.0629,-4.738,0.07,3.804,0.068,17.176401,0.002876,1.427763,,,0.014085
Gaia EDR3 5522090579762884608,264.6293830939,-2.0020423467,130.65450425151,-45.55481787837,0.2874,0.1419,-3.843,0.138,3.92,0.163,18.216307,0.003265,1.365761,,,0.042254
Gaia EDR3 5522090618430763008,264.6220244709,-1.9811218885,130.67156580907,-45.53613707744,0.3028,0.0438,-4.055,0.048,3.137,0.044,16.437546,0.002821,1.538524,,,0.012713
Gaia EDR3 5522090682842151680,264.6112495053,-1.975183852,130.66877153601,-45.52399664608,0.3122,0.1292,-4.732,0.121,3.665,0.145,18.107344,0.003101,1.586874,,,0.038694
Gaia EDR3 5522090687150236800,264.611396319,-1.9803391625,130.66310433098,-45.52728826893,0.3697,0.0815,-4.485,0.089,3.801,0.078,17.51882,0.002897,1.467693,,,0.024281
Gaia EDR3 5522090820281127680,264.5815821758,-1.9994800283,130.6153911285,-45.51559951932,0.4617,0.1837,-3.62,0.182,2.735,0.212,18.727789,0.003553,1.827692,,,0.056677
Gaia EDR3 5522090927668392704,264.5823956137,-1.9847504851,130.63266844677,-45.50717149513,0.409,0.1793,-3.97,0.173,3.874,0.211,18.28735,0.004073,1.662802,,,0.035257
Gaia EDR3 5522090927668456960,264.5876505246,-1.9884732824,130.6330972724,-45.5136018774,0.2614,0.0699,-3.746,0.074,2.998,0.072,17.257496,0.00287,1.362513,,,0.015303
Gaia EDR3 5522090957720122368,264.572770239,-1.9712730909,130.63936706368,-45.49129280377,0.2398,0.0664,-3.621,0.072,3.591,0.065,17.282148,0.00288,1.414825,,,0.013552
Gaia EDR3 5522091266957760256,264.5844473598,-1.9614239673,130.6606898183,-45.49442021369,0.2717,0.0695,-4.29,0.078,3.456,0.076,17.264183,0.002897,1.578114,,,0.017023
Gaia EDR3 5522091271265783040,264.5901390542,-1.9684524688,130.65779015574,-45.50323079304,0.3218,0.0752,-3.864,0.08,3.476,0.075,17.522459,0.002932,1.40535,,,0.018537
Gaia EDR3 5522091301317514368,264.5875566952,-1.9420030152,130.68524078493,-45.48490148878,0.4027,0.0997,-3.681,0.108,3.282,0.114,17.687845,0.004173,1.610079,,,0.033584
Gaia EDR3 5522091335677244160,264.577464764,-1.9635153713,130.65220739319,-45.49021118953,0.597,0.1852,-3.899,0.192,3.206,0.23,18.67775,0.003405,1.686527,,,0.048976
Gaia EDR3 5522091370036998528,264.5739678579,-1.9517839759,130.66231797912,-45.48023153978,0.3039,0.1506,-4.008,0.163,2.149,0.176,18.406025,0.003378,1.940596,,,0.039527
Gaia EDR3 5522091507475979264,264.5712761029,-1.9226178714,130.69270966479,-45.46014046944,0.3971,0.0423,-4.148,0.045,2.343,0.044,16.509932,0.002823,1.192247,,,0.010092
Gaia EDR3 5522091713633942912,264.5602306083,-1.9737525015,130.62557313538,-45.48294505659,0.2579,0.1429,-3.732,0.162,3.568,0.184,18.423029,0.003319,1.74588,,,0.042547
Gaia EDR3 5522091752302100096,264.5491847086,-1.9826415211,130.60588965949,-45.47971763869,0.5809,0.0139,-5.255,0.015,3.764,0.015,8.668104,0.002773,2.103695,11.88,0.42,0.006727
Gaia EDR3 5522091752302100352,264.5531144623,-1.9885059154,130.6027451801,-45.48642249001,0.5692,0.0144,-5.188,0.015,3.825,0.015,12.933191,0.002765,0.636279,,,0.006648
Gaia EDR3 5522091786657041536,264.5535546973,-1.9747854579,130.61855369312,-45.47832348571,0.5855,0.1792,-3.632,0.208,3.749,0.233,18.82369,0.003533,1.845699,,,0.070244
Gaia EDR3 5522091786661842560,264.5500501605,-1.9652255868,130.62622134405,-45.46967777416,0.3128,0.0913,-3.769,0.099,2.332,0.096,17.880926,0.003002,1.642126,,,0.026026
Gaia EDR3 5522091821021570560,264.557099141,-2.0189332875,130.57202281779,-45.50828442583,0.2768,0.1428,-3.688,0.141,3.421,0.165,18.356016,0.003285,1.488192,,,0.047987
Gaia EDR3 5522091919792816128,264.5344584322,-2.0036002096,130.56941103364,-45.48101316326,0.3425,0.1683,-3.877,0.172,2.676,0.205,18.771341,0.003505,1.78348,,,0.060419
Gaia EDR3 5522091992814212736,264.5348607708,-1.9638485595,130.61444309949,-45.45686759248,0.3063,0.0756,-3.75,0.085,3.542,0.081,17.644857,0.002962,1.585689,,,0.018066
Gaia EDR3 5522092027179998336,264.5335157334,-1.9862234376,130.58811987473,-45.46957931419,0.2613,0.0834,-3.682,0.093,3.701,0.086,17.84693,0.002971,1.562956,,,0.027373
Gaia EDR3 5522092095899256064,264.5655856331,-1.9554724954,130.6508144494,-45.47590444871,0.2839,0.0781,-4.902,0.089,3.686,0.079,17.552876,0.00296,1.471067,,,0.023291
Gaia EDR3 5522092130258997120,264.5635893843,-1.9452971521,130.66049229713,-45.46806486011,0.5336,0.1172,-3.842,0.122,3.944,0.157,18.211168,0.003104,1.579248,,,0.025479
Gaia EDR3 5522092194670750720,264.5505750391,-1.9467227484,130.64746769481,-45.45869672407,0.2534,0.1153,-3.757,0.121,3.795,0.148,18.178831,0.003141,1.554236,,,0.023021
Gaia EDR3 5522092194670755072,264.549883509,-1.9425415538,130.65155672068,-45.4555768872,0.3198,0.1287,-3.496,0.136,3.479,0.159,18.388678,0.003219,1.545597,,,0.030365
Gaia EDR3 5522092297750002304,264.535816672,-1.9243659289,130.65962033084,-45.43330588705,0.3565,0.0403,-4.903,0.046,3.051,0.042,16.355082,0.002812,1.181132,,,0.010182
Gaia EDR3 5522092405136875008,264.5236771396,-1.9357108947,130.63623546019,-45.43073558317,0.5805,0.0129,-4.217,0.013,2.269,0.013,11.08136,0.002764,1.458777,12.39,0.51,0.006666
Gaia EDR3 5522092405136881792,264.5335707379,-1.9390239716,130.64119360054,-45.44056631192,0.3021,0.0515,-3.478,0.055,3.724,0.052,16.880377,0.002837,1.448822,,,0.012969
Gaia EDR3 5522092435188948352,264.519381065,-1.9593081495,130.60596891306,-45.44188049313,0.574,0.0463,-4.555,0.05,3.223,0.051,16.115137,0.002822,1.195811,,,0.008694
Gaia EDR3 5522092469548711936,264.5207993115,-1.9409494012,130.62783007382,-45.43169517453,0.4808,0.1949,-3.627,0.225,3.944,0.207,18.915434,0.003737,1.75069,,,0.061853
Gaia EDR3 5522092503908434944,264.5310516092,-1.9297654277,130.64937859682,-45.43288041829,0.3597,0.0467,-5.124,0.054,3.268,0.048,16.68529,0.002831,1.25797,,,0.011227
Gaia EDR3 5522092542575832448,264.5166475638,-1.9129982454,130.65556324415,-45.41121158119,0.3042,0.0169,-4.02,0.018,2.285,0.018,14.471002,0.002773,1.9937,,,0.007367
Gaia EDR3 5522092542575832704,264.518039129,-1.9147814282,130.65478270663,-45.41340561831,0.3628,0.0409,-4.389,0.045,2.613,0.043,16.344261,0.002812,1.250906,,,0.011575
Gaia EDR3 5522092576935560576,264.5125890363,-1.9320794872,130.63058894981,-45.41976798397,0.3946,0.0568,-4.11,0.065,2.158,0.06,17.150164,0.00287,1.438667,,,0.017105
Gaia EDR3 5522092611295305344,264.5069176321,-1.9034371238,130.65775799597,-45.39766140846,0.4846,0.0461,-3.525,0.046,3.125,0.05,16.699533,0.00282,1.275208,,,0.010298
Gaia EDR3 5522092645655104512,264.6072747631,-1.9109768389,130.73741136154,-45.48128904907,0.2578,0.0204,-4.199,0.022,3.422,0.02,14.838226,0.002766,1.056566,,,0.007352
Gaia EDR3 5522092680014842752,264.5935825223,-1.8863491545,130.75301427939,-45.45532640769,0.2726,0.0249,-3.838,0.027,3.723,0.025,15.461439,0.002786,0.821006,,,0.008148
Gaia EDR3 5522092680014844416,264.604830097,-1.8978341623,130.75001444856,-45.47125903772,0.3418,0.0337,-4.245,0.037,3.953,0.032,16.020977,0.002789,1.033537,,,0.009186
Gaia EDR3 5522092714368933760,264.587708535,-1.9035504166,130.72854929019,-45.46131549635,0.3173,0.0824,-4.425,0.093,3.386,0.078,17.326344,0.003076,1.331394,,,0.032313
Gaia EDR3 5522092714374576000,264.5971919426,-1.9124763443,130.72686457475,-45.47428128002,0.6078,0.0703,-5.029,0.078,3.736,0.067,17.415483,0.002962,1.479889,,,0.01961
Gaia EDR3 5522092744426013312,264.5789125281,-1.8841653111,130.74257157493,-45.44243942718,0.31,0.1546,-4.166,0.196,3.489,0.194,18.618992,0.003499,1.640846,,,0.059799
Gaia EDR3 5522092748734311040,264.5814448279,-1.8972642924,130.73009986889,-45.45251076674,0.5951,0.1505,-3.842,0.159,3.956,0.19,18.520086,0.003344,1.854704,,,0.048091
Gaia EDR3 5522092851813531776,264.5840627984,-1.8786192263,130.75331879427,-45.44306942998,0.2823,0.0779,-3.666,0.096,3.873,0.077,17.66566,0.002941,1.44705,,,0.030638
Gaia EDR3 5522092989252469760,264.5630245193,-1.9070626301,130.7029236295,-45.44405821952,0.2587,0.0594,-3.607,0.066,3.79,0.062,17.20553,0.00287,1.175388,,,0.012675
Gaia EDR3 5522093023612206848,264.5506098397,-1.8875597881,130.71390460276,-45.42226517341,0.302,0.1149,-4.68,0.127,3.932,0.146,18.129372,0.003152,2.1922,,,0.032373
Gaia EDR3 5522093023612207360,264.5529900561,-1.8908013413,130.71235821395,-45.42613673447,0.3755,0.1035,-3.601,0.12,3.675,0.121,18.053352,0.003123,1.530525,,,0.029528
Gaia EDR3 5522093092331697408,264.5702738291,-1.8646055216,130.75691833701,-45.42357747233,0.2759,0.0414,-5.228,0.046,3.706,0.041,16.496792,0.002824,1.469109,,,0.010545
Gaia EDR3 5522093122383743488,264.5491874817,-1.8778227535,130.72357665949,-45.4151419699,0.294,0.0756,-4.259,0.077,2.786,0.077,17.600124,0.00292,1.577852,,,0.018719
Gaia EDR3 5522093156745706496,264.5468627963,-1.8531360629,130.74921287868,-45.39808655383,0.2507,0.0574,-4.503,0.058,3.838,0.065,17.047909,0.002836,1.58046,,,0.016468
Gaia EDR3 5522093195410921344,264.5824726413,-1.8445306854,130.79014404556,-45.42078204271,0.7253,0.018,-4.607,0.018,2.673,0.018,14.147525,0.00277,0.840962,,,0.006739
Gaia EDR3 5522093435929089024,264.5569416379,-1.800533964,130.81699259439,-45.3735437249,0.5484,0.7566,-3.66,0.726,2.216,0.865,16.642807,0.011175,1.406975,,,0.011276
Gaia EDR3 5522093465981149952,264.551903435,-1.8418909616,130.76624223714,-45.39511305256,0.4745,0.1498,-4.083,0.143,3.296,0.169,18.554302,0.003494,1.857723,,,0.03962
Gaia EDR3 5522093504648556544,264.5453881727,-1.8227241235,130.78199328613,-45.37816019799,0.7189,0.0595,-4.772,0.06,2.96,0.058,17.228924,0.002904,1.395617,,,0.012777
Gaia EDR3 5522093710806986240,264.5319139562,-1.7996911617,130.79595166529,-45.35334657218,0.6151,0.1871,-4.419,0.168,2.961,0.189,18.994173,0.003623,1.746719,,,0.052117
Gaia EDR3 5522093779526447744,264.5442171917,-1.8875768151,130.70827334325,-45.41724534559,0.37,0.0414,-3.559,0.045,3.589,0.042,16.438585,0.002809,1.301855,,,0.010167
Gaia EDR3 5522093809578526208,264.5246904557,-1.8909953265,130.68730255299,-45.40398526413,0.2552,0.059,-5.153,0.059,3.297,0.061,17.15078,0.002872,1.473354,,,0.015512
Gaia EDR3 5522093813886168576,264.5279994454,-1.8991949359,130.68100795768,-45.41164307552,0.3921,0.0162,-3.685,0.016,2.898,0.016,14.339811,0.002769,0.699948,,,0.0068
Gaia EDR3 5522093813886169728,264.5294929148,-1.8996516986,130.68180588625,-45.41310008264,0.3631,0.0266,-3.747,0.028,2.891,0.029,15.563426,0.002779,0.947358,,,0.007415
Gaia EDR3 5522093843938257792,264.5338190947,-1.8872188605,130.69954832394,-45.40884194978,0.4752,0.1299,-4.072,0.128,2.355,0.158,18.401434,0.003217,1.650322,,,0.037295
Gaia EDR3 5522093843938272640,264.5219861309,-1.8841932468,130.69255867976,-45.39766438159,0.2954,0.1903,-3.674,0.178,3.261,0.224,18.880045,0.003667,2.051678,,,0.088347
Gaia EDR3 5522093878297475840,264.5366884333,-1.8752102012,130.71553374469,-45.40369635443,0.5091,0.1649,-3.836,0.161,3.4,0.211,18.734594,0.003538,2.093302,,,0.061324
Gaia EDR3 5522093951319405312,264.5185314603,-1.8647487615,130.71132864108,-45.38295879707,0.2804,0.1091,-4.127,0.111,2.798,0.14,18.08065,0.003074,1.634008,,,0.032701
Gaia EDR3 5522093951325129728,264.5259864586,-1.8750711513,130.70629752927,-45.39518930779,0.503,0.0421,-5.225,0.043,3.746,0.043,16.40225,0.002807,1.244654,,,0.010142
Gaia EDR3 5522093951325131264,264.5261730479,-1.8730822134,130.70869128766,-45.39410991911,0.3028,0.1508,-3.896,0.142,2.676,0.179,18.58857,0.003359,1.555143,,,0.04338
Gaia EDR3 5522093985684870400,264.5189882639,-1.8580026421,130.71929087624,-45.37915858549,0.253,0.0346,-3.493,0.035,3.431,0.036,16.217794,0.002791,1.00905,,,0.010596
Gaia EDR3 5522093985684873344,264.5229358649,-1.8579687736,130.72279274589,-45.38224375222,0.4622,0.0454,-3.45,0.044,2.817,0.047,16.694351,0.002822,1.265734,,,0.01077
Gaia EDR3 5522094260562756224,264.4879926939,-1.8466303801,130.70484788503,-45.34775678352,0.2685,0.129,-4.215,0.119,2.784,0.169,18.434244,0.003272,1.563576,,,0.038626
Gaia EDR3 5522094290614892032,264.5249283028,-1.8469353066,130.73690617384,-45.37700654292,0.3117,0.1156,-5.17,0.118,3.517,0.143,18.277462,0.003131,1.620033,,,0.035778
Gaia EDR3 5522094363642000512,264.522974239,-1.8454364989,130.73687069147,-45.37454479448,0.2777,0.0416,-3.59,0.044,3.772,0.042,16.491571,0.002806,1.073244,,,0.010877
Gaia EDR3 5522094397996042240,264.5097975147,-1.8232481231,130.75016288816,-45.350491753,0.5514,0.1832,-4.209,0.168,3.379,0.166,18.89062,0.003393,1.906784,,,0.087334
Gaia EDR3 5522094398001737856,264.5114072214,-1.8260269046,130.74846333807,-45.35347230069,0.2917,0.019,-4.132,0.019,2.265,0.019,14.940597,0.002765,0.864726,,,0.006995
Gaia EDR3 5522094531133110272,264.5008522871,-1.7997945594,130.76857181337,-45.32898426743,0.3384,0.0435,-5.016,0.041,3.487,0.041,16.553871,0.002811,1.521508,,,0.011359
Gaia EDR3 5522094569800415488,264.4956453173,-1.8307226833,130.72937715472,-45.34396909367,0.601,0.0429,-4.416,0.039,3.189,0.042,16.495409,0.002837,1.307363,,,0.010445
Gaia EDR3 5522094634220640768,264.4898575991,-1.8362614815,130.71809805905,-45.34283105356,0.5385,0.0619,-5.215,0.061,3.528,0.061,17.219374,0.003073,1.478939,,,0.036384
Gaia EDR3 5522094638519889024,264.4917752261,-1.832057204,130.7244884817,-45.34174722475,0.5638,0.0213,-4.442,0.02,3.193,0.021,15.121129,0.002768,1.090465,,,0.00727
