EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522111096834449152,264.3218151557,-1.7954078873,130.61677363037,-45.18537330902,0.4444,0.059,-4.476,0.063,4.092,0.058,17.147787,0.00292,1.550173,,,0.021474
Gaia EDR3 5522111161242932352,264.3074863245,-1.7972779146,130.60217409344,-45.17523880494,0.2964,0.1259,-4.361,0.126,5.636,0.153,18.345055,0.003144,1.552597,,,0.049562
Gaia EDR3 5522111195602666624,264.3145052895,-1.7913580156,130.61491877648,-45.17712261728,0.4677,0.1122,-5.371,0.118,5.563,0.15,18.227364,0.003389,1.665722,,,0.047985
Gaia EDR3 5522111199913664896,264.3168036501,-1.7841129707,130.62502351864,-45.17447150965,0.2735,0.0738,-6.087,0.08,5.713,0.078,17.693508,0.002914,1.47938,,,0.023549
Gaia EDR3 5522111264322148480,264.3124392469,-1.7899295044,130.61471191068,-45.17461587779,0.3865,0.0908,-5.862,0.095,4.425,0.09,17.970764,0.003014,1.46105,,,0.028912
Gaia EDR3 5522111298681908608,264.3087721667,-1.7770493208,130.62590563668,-45.16379673428,0.309,0.1692,-6.117,0.17,5.379,0.193,18.907671,0.003502,1.601404,,,0.062911
Gaia EDR3 5522111298681920128,264.3051746962,-1.7773151621,130.62246821829,-45.16112735251,0.5967,0.0712,-5.038,0.077,5.425,0.073,17.6003,0.00295,1.428196,,,0.02616
Gaia EDR3 5522111298687585408,264.3030717158,-1.7739914569,130.62434640764,-45.15742447459,0.5527,0.0767,-4.742,0.085,4.311,0.077,17.710152,0.002908,1.475496,,,0.017827
Gaia EDR3 5522111371712306688,264.307469376,-1.8614719397,130.53034555424,-45.21471995825,0.4569,0.051,-4.987,0.055,5.569,0.054,16.902578,0.002827,1.367739,,,0.011771
Gaia EDR3 5522111509151267968,264.2988069543,-1.8299175,130.5580999333,-45.18848639139,0.3255,0.0317,-4.85,0.037,5.678,0.033,16.005987,0.002793,1.282923,,,0.024119
Gaia EDR3 5522111509151274624,264.3039711455,-1.8278931042,130.56487010347,-45.1913102533,0.3717,0.1738,-4.529,0.178,4.1,0.191,18.92855,0.003488,1.644945,,,0.05683
Gaia EDR3 5522111573559794688,264.2922758955,-1.8209886612,130.56238968455,-45.17784715017,0.429,0.052,-5.176,0.058,4.888,0.053,16.602352,0.002944,1.352611,,,0.012362
Gaia EDR3 5522111573559796096,264.2850977813,-1.8274686338,130.54888141202,-45.17617676713,0.2784,0.1202,-4.523,0.122,4.304,0.149,18.169004,0.003183,1.573217,,,0.030106
Gaia EDR3 5522111612230458240,264.2931029714,-1.870827307,130.50734151153,-45.20914662655,0.4594,0.0132,-5.701,0.014,5.133,0.014,13.945732,0.002767,0.569611,,,0.006691
Gaia EDR3 5522111642279250048,264.2822195807,-1.8535835428,130.51715402787,-45.18996686815,0.2713,0.1164,-5.563,0.12,4.953,0.147,18.2279,0.003065,1.439364,,,0.031903
Gaia EDR3 5522111646590200704,264.2888677937,-1.8550326719,130.5213289837,-45.19609842817,0.2326,0.0441,-6.257,0.043,5.843,0.045,16.559738,0.00281,1.251602,,,0.010042
Gaia EDR3 5522111676638976256,264.2769638272,-1.8728583464,130.49099749891,-45.19767038382,0.3978,0.0966,-4.572,0.103,4.425,0.115,18.030203,0.003365,1.485128,,,0.02552
Gaia EDR3 5522111680943506048,264.2680040707,-1.8677994348,130.48885218121,-45.18749695831,0.2926,0.1005,-5.061,0.103,4.073,0.142,17.981428,0.00302,,,,
Gaia EDR3 5522111715303269120,264.2679532877,-1.8590850792,130.49856157801,-45.18210154949,0.2485,0.1014,-4.861,0.112,5.641,0.135,17.917648,0.003678,1.025751,,,0.084116
Gaia EDR3 5522111749669411200,264.2726246124,-1.8330531665,130.53175922534,-45.16978077679,0.3781,0.0429,-6.25,0.047,4.667,0.045,16.584997,0.002813,1.395863,,,0.01099
Gaia EDR3 5522111749669412352,264.2760912028,-1.8378581876,130.52940632508,-45.17546775831,0.6835,0.0199,-5.421,0.022,4.763,0.021,15.030974,0.002768,0.956356,,,0.007088
Gaia EDR3 5522111921468139904,264.289779276,-1.79324346,130.5912323189,-45.15880723603,0.3538,0.0427,-5.618,0.046,5.154,0.047,16.623709,0.002816,1.67222,,,0.011583
Gaia EDR3 5522111955821612672,264.2882404669,-1.815081358,130.565475882,-45.17103310467,0.5069,0.0627,-5.191,0.068,5.292,0.071,17.369728,0.002894,1.372915,,,0.020833
Gaia EDR3 5522111955827858176,264.2822872509,-1.8153889924,130.55993962427,-45.16653143032,0.5677,0.0589,-5.824,0.065,4.791,0.064,17.183357,0.003318,1.460155,,,0.017257
Gaia EDR3 5522111985876698752,264.2810443289,-1.7950869942,130.58155214509,-45.15306047444,0.4782,0.0959,-6.302,0.105,5.581,0.101,18.020947,0.003002,1.6269,,,0.028566
Gaia EDR3 5522112123321304960,264.2743822333,-1.7753761816,130.59776710499,-45.13568069842,0.2711,0.1227,-5.193,0.125,5.219,0.159,18.384842,0.003185,1.611801,,,0.03583
Gaia EDR3 5522112157681042304,264.274691197,-1.807163632,130.56251207516,-45.15548567151,0.3888,0.1235,-5.242,0.126,5.148,0.158,18.410965,0.003215,1.536333,,,0.040597
Gaia EDR3 5522112161986280704,264.2703435349,-1.8105822319,130.55489935949,-45.15416278139,0.4926,0.022,-5.308,0.024,5.333,0.024,15.280757,0.003032,1.036079,,,0.010874
Gaia EDR3 5522112161986284032,264.2762341798,-1.8136065466,130.55665414991,-45.16066511133,0.3175,0.0765,-5.665,0.082,5.219,0.08,17.715113,0.002955,1.633383,,,0.02355
Gaia EDR3 5522112161986285440,264.2736228078,-1.8054791583,130.56346358024,-45.15360749841,0.448,0.0359,-5.17,0.04,5.121,0.038,16.229906,0.002797,1.197555,,,0.009815
Gaia EDR3 5522112230699399424,264.2520680056,-1.8051385698,130.54505465647,-45.13641221279,0.5313,0.1056,-6.295,0.115,4.823,0.123,17.793064,0.003471,1.436865,,,0.058679
Gaia EDR3 5522112260754645504,264.2479042652,-1.7928972943,130.55510687151,-45.12560129231,0.4315,0.176,-5.401,0.174,4.55,0.255,18.892849,0.00353,1.642618,,,0.051817
Gaia EDR3 5522112295114373120,264.2597752693,-1.7866112152,130.57247770716,-45.13108773226,0.6042,0.1563,-5.545,0.156,4.915,0.189,18.73203,0.00369,1.724825,,,0.053682
Gaia EDR3 5522112299425242496,264.2673746346,-1.7854175811,130.58043699688,-45.13634051394,0.2757,0.1196,-4.633,0.124,4.247,0.151,18.380388,0.003529,1.686613,,,0.047414
Gaia EDR3 5522112333784982400,264.2586683805,-1.765495435,130.59510105812,-45.11722045957,0.5122,0.0635,-4.841,0.07,4.921,0.064,17.383074,0.002872,1.470955,,,0.014844
Gaia EDR3 5522112368144707968,264.2517666373,-1.7817091305,130.57097363872,-45.12176140772,0.3941,0.0167,-5.242,0.019,4.389,0.017,14.656319,0.002766,1.759199,,,0.00682
Gaia EDR3 5522113158412209280,264.2659208997,-1.8805169761,130.47279951373,-45.19366817298,0.3059,0.1597,-4.78,0.171,4.837,0.208,18.802597,0.003349,1.563934,,,0.043547
Gaia EDR3 5522113428985685632,264.2364446173,-1.8806453167,130.44698356212,-45.17049883258,0.5834,0.089,-5.523,0.103,5.291,0.106,17.994232,0.003048,1.502024,,,0.035924
Gaia EDR3 5522113502009376768,264.2204810913,-1.8747203309,130.43972050044,-45.15426801308,0.4484,0.0854,-4.567,0.098,4.666,0.097,17.675688,0.00301,1.631662,,,0.036406
Gaia EDR3 5522113502015983232,264.2159494683,-1.8705940981,130.44039486884,-45.14815955274,0.4239,0.0386,-4.373,0.043,4.314,0.048,16.444014,0.0028,1.167405,,,0.009565
Gaia EDR3 5522114528497393920,264.1741258366,-1.8730223649,130.40130418809,-45.11665182192,0.3502,0.1859,-4.576,0.186,4.832,0.214,18.984959,0.003617,1.740152,,,0.056565
Gaia EDR3 5522114532801341824,264.1762676566,-1.8652350631,130.41187827725,-45.11356256171,0.3831,0.1669,-4.541,0.168,5.2,0.218,18.780487,0.003432,1.684006,,,0.05704
Gaia EDR3 5522114532808089344,264.1694040204,-1.8637989981,130.40751876464,-45.10726527157,0.3874,0.0847,-4.636,0.09,4.439,0.1,17.813768,0.002989,1.526417,,,0.023252
Gaia EDR3 5522114700296015616,264.2388028348,-1.8654150401,130.46608396483,-45.16300445776,0.377,0.1081,-5.248,0.113,5.843,0.142,18.213198,0.003105,1.675127,,,0.030858
Gaia EDR3 5522114738966598016,264.2320611121,-1.8429591287,130.48533783245,-45.14389141724,0.6144,0.0519,-4.623,0.059,4.572,0.055,16.98464,0.003036,1.567356,,,0.014864
Gaia EDR3 5522114837734998400,264.2343325912,-1.8405464695,130.49001437522,-45.14419991154,0.3461,0.1482,-4.566,0.165,4.548,0.195,18.697304,0.003316,1.579044,,,0.048514
Gaia EDR3 5522114872094758144,264.2343840187,-1.8234616401,130.5091648305,-45.13373981652,0.3131,0.112,-4.727,0.117,4.903,0.152,18.297039,0.00311,1.428255,,,0.040659
Gaia EDR3 5522114945125019776,264.2266153458,-1.8456327678,130.47760576236,-45.14123994511,0.3384,0.1452,-5.486,0.16,4.459,0.188,18.576023,0.0033,1.411116,,,0.055012
Gaia EDR3 5522114945125021696,264.2338444929,-1.8559532894,130.47235417176,-45.15328156067,0.4455,0.0241,-4.699,0.027,4.134,0.027,15.516145,0.002772,0.926538,,,0.007145
Gaia EDR3 5522115082563977984,264.218538267,-1.823043383,130.49583486192,-45.12098993127,0.3092,0.0956,-4.947,0.104,4.683,0.114,18.04746,0.003046,1.501936,,,0.025095
Gaia EDR3 5522115082563985280,264.2238465382,-1.8206867438,130.5030910075,-45.12372664946,0.2209,0.1455,-5.377,0.155,4.736,0.193,18.640776,0.00329,1.606794,,,0.044207
Gaia EDR3 5522115181331524736,264.2425895653,-1.8016531248,130.54069109819,-45.12679849361,0.5541,0.0318,-5.559,0.036,4.686,0.034,16.036194,0.002785,1.156968,,,0.008069
Gaia EDR3 5522115220002978432,264.2439874801,-1.7944239583,130.54998786138,-45.12345380556,0.5166,0.1511,-4.757,0.153,4.621,0.203,18.670444,0.003393,1.609386,,,0.043327
Gaia EDR3 5522115284411651712,264.222939162,-1.784239439,130.54303069004,-45.10060172238,0.6688,0.0481,-6.164,0.056,4.718,0.058,16.161045,0.002855,1.184184,,,0.008377
Gaia EDR3 5522115288722440960,264.2302614021,-1.7920051761,130.54073250329,-45.11114869349,0.3849,0.053,-4.523,0.058,4.954,0.054,16.981586,0.002836,1.251402,,,0.011944
Gaia EDR3 5522115357441939584,264.2322252853,-1.7574289093,130.58106100589,-45.09142428098,0.3533,0.0479,-6.325,0.055,5.695,0.047,16.751287,0.002822,1.377149,,,0.009901
Gaia EDR3 5522115391801654016,264.2208042861,-1.7781119942,130.54801561702,-45.09515043154,0.4185,0.0124,-5.083,0.014,5.087,0.013,13.611095,0.002767,1.852729,16.55,1.53,0.006747
Gaia EDR3 5522115460521100160,264.2069097696,-1.8005606419,130.51084022497,-45.098002755,0.6608,0.0229,-5.029,0.027,5.808,0.026,15.377853,0.00277,1.149755,,,0.007248
Gaia EDR3 5522115628009059072,264.2027608533,-1.7641583928,130.54788604518,-45.07234803938,0.6038,0.1012,-5.12,0.11,5.048,0.099,17.960808,0.003445,1.844772,,,0.030778
Gaia EDR3 5522115632319819264,264.2056971956,-1.7568499564,130.55860140179,-45.07016616523,0.2727,0.0718,-4.749,0.075,5.214,0.07,17.516327,0.0029,1.638723,,,0.017943
Gaia EDR3 5522115696728549120,264.1869529214,-1.7542991008,130.54513215821,-45.05382569502,0.5902,0.0712,-5.381,0.079,4.967,0.073,17.44875,0.003086,1.466803,,,0.018146
Gaia EDR3 5522115735398962176,264.1963809655,-1.859310117,130.43599594502,-45.12579395482,0.4069,0.0433,-5.366,0.05,5.787,0.054,16.675228,0.00282,1.29218,,,0.010623
Gaia EDR3 5522115799807708672,264.186724306,-1.8633858027,130.42303828807,-45.12067784277,0.5628,0.1597,-5.902,0.166,5.74,0.213,18.823317,0.003478,1.812065,,,0.050796
Gaia EDR3 5522115799807712640,264.1846213157,-1.8598213209,130.42519716046,-45.11683041158,0.5279,0.0558,-4.972,0.064,4.926,0.063,17.152437,0.002858,1.481329,,,0.01443
Gaia EDR3 5522115868527204096,264.1951292073,-1.8240860434,130.4742967987,-45.10317197165,0.5732,0.0904,-4.728,0.096,5.009,0.094,17.946568,0.00298,1.470024,,,0.023628
Gaia EDR3 5522115872837922304,264.1898857504,-1.8347341142,130.45783151309,-45.10557785757,0.3839,0.0489,-5.364,0.052,4.995,0.052,16.752491,0.002819,1.292389,,,0.011633
Gaia EDR3 5522115902886944512,264.1935964511,-1.8217360527,130.47559013285,-45.10051941875,0.2622,0.1539,-4.7,0.159,4.423,0.196,18.695244,0.003328,1.644556,,,0.050077
Gaia EDR3 5522115941557391872,264.1821229406,-1.8328703296,130.4531637176,-45.0983102713,0.3204,0.0171,-5.28,0.02,4.513,0.019,14.706356,0.002772,2.031419,,,0.00698
Gaia EDR3 5522116005966165888,264.1676171549,-1.8518420679,130.41933917162,-45.09851612233,0.4532,0.0632,-4.809,0.073,5.609,0.07,17.316406,0.002879,1.436186,,,0.01516
Gaia EDR3 5522116010276846720,264.1747072368,-1.8593647493,130.41708849354,-45.1087280601,0.4,0.0282,-4.868,0.031,5.622,0.033,15.748051,0.002778,1.041272,,,0.007561
Gaia EDR3 5522116078996316544,264.1634296242,-1.8502517704,130.41747805795,-45.09423592156,0.4292,0.0379,-5.498,0.041,5.251,0.043,16.309155,0.002799,1.28997,,,0.009123
Gaia EDR3 5522116109045388416,264.1572278525,-1.8442111826,130.41884284245,-45.08563462442,0.4141,0.1441,-5.274,0.154,5.189,0.217,18.538464,0.003609,1.821442,,,0.055485
Gaia EDR3 5522116147715811328,264.1733311462,-1.8344436561,130.44376005369,-45.09234164155,0.5171,0.0501,-6.046,0.059,4.641,0.055,16.88076,0.002827,1.280577,,,0.013339
Gaia EDR3 5522116250795009024,264.1416239719,-1.8068829419,130.44700113979,-45.05040497729,0.6899,0.3136,-4.779,0.899,4.535,0.325,18.893442,0.00471,,,,
Gaia EDR3 5522116319507950336,264.1794001105,-1.7856472417,130.50356181251,-45.06714763239,0.2105,0.1403,-4.348,0.147,4.33,0.18,18.567617,0.003222,1.622955,,,0.047515
Gaia EDR3 5522116349563564544,264.1747609608,-1.8045192383,130.47844643109,-45.07508769608,0.3021,0.1454,-4.819,0.161,4.683,0.191,18.530434,0.003264,1.690027,,,0.041085
Gaia EDR3 5522116353874250624,264.1659335645,-1.8040249283,130.47132277415,-45.06782270715,0.2415,0.0631,-4.845,0.071,4.869,0.07,17.376984,0.00287,1.524494,,,0.015649
Gaia EDR3 5522116422587209216,264.1831034868,-1.7749542939,130.5187243438,-45.06349361853,0.4511,0.0623,-5.119,0.071,5.119,0.067,17.343637,0.003347,1.448038,,,0.022521
Gaia EDR3 5522116422587214720,264.1836548884,-1.7739721092,130.52030076559,-45.06332439561,0.4211,0.173,-5.403,0.18,5.444,0.212,18.9097,0.003704,2.034746,,,0.063373
Gaia EDR3 5522116491306608384,264.1622207003,-1.7671612614,130.50926022105,-45.04224030287,0.4703,0.1628,-5.205,0.426,4.048,0.271,18.02313,0.00332,,,,
Gaia EDR3 5522116491313226240,264.1665151003,-1.7683959723,130.51161657227,-45.04638480903,0.3467,0.0367,-4.843,0.044,5.087,0.039,16.142239,0.002796,1.373076,,,0.008734
Gaia EDR3 5522116594392420992,264.1520406814,-1.7756333685,130.49095151809,-45.03942162649,0.3981,0.1694,-5.036,0.185,5.844,0.198,18.889828,0.003517,1.682684,,,0.048775
Gaia EDR3 5522116628752133888,264.1365005399,-1.7913044171,130.45994874652,-45.03679536941,0.394,0.0539,-5.28,0.061,5.194,0.06,17.11005,0.002903,1.372805,,,0.016225
Gaia EDR3 5522116663111871104,264.1329524077,-1.7864047698,130.46233695982,-45.03098717597,0.4536,0.0902,-5.132,0.106,4.936,0.102,14.467555,0.002961,0.772166,,,0.008408
Gaia EDR3 5522116693160970368,264.1473035123,-1.7683942361,130.49491453127,-45.03123741618,0.3217,0.1091,-5.586,0.118,4.872,0.149,18.24521,0.00311,1.742683,,,0.036321
Gaia EDR3 5522116796239169792,264.1244583802,-1.7572280158,130.48752290245,-45.00636191617,0.4856,0.1337,-5.477,0.146,5.811,0.183,18.548435,0.003287,1.516308,,,0.045949
Gaia EDR3 5522116796240190720,264.133081036,-1.7460981058,130.50743258249,-45.00631941854,0.4966,0.1061,-4.942,0.114,5.342,0.156,18.148304,0.003075,1.62908,,,0.028215
Gaia EDR3 5522116800550834176,264.1247669378,-1.7554168678,130.48981176094,-45.00549215718,0.3171,0.1405,-4.692,0.152,5.535,0.191,18.642614,0.003333,1.665028,,,0.061929
Gaia EDR3 5522192495049492352,264.3918853951,-1.7070837698,130.77670381292,-45.18606755396,0.2026,0.1592,-5.398,0.159,5.809,0.223,18.56058,0.003642,1.742655,,,0.036327
Gaia EDR3 5522192628186133504,264.3807447402,-1.6755853886,130.80209980308,-45.15786096469,0.4401,0.0179,-4.588,0.02,4.609,0.02,14.720534,0.002769,0.734499,,,0.007229
Gaia EDR3 5522192765619965312,264.3792583809,-1.7678955769,130.69772903219,-45.21364687323,0.5104,0.1118,-4.749,0.112,4.369,0.142,18.19338,0.003107,1.667965,,,0.033998
Gaia EDR3 5522192838646852480,264.3856209164,-1.7365054266,130.73836819041,-45.19929534255,0.3302,0.0172,-4.508,0.019,4.467,0.018,14.602494,0.002767,1.005912,,,0.006923
Gaia EDR3 5522192838646856960,264.3885636698,-1.7321858846,130.74576794977,-45.1989455103,0.6837,0.0201,-5.05,0.021,4.712,0.021,15.051071,0.002766,1.084187,,,0.007179
Gaia EDR3 5522192907366314752,264.3702994297,-1.7376938928,130.72363651075,-45.18797425868,0.4144,0.0196,-5.148,0.022,5.23,0.021,14.991027,0.002772,0.78165,,,0.007183
Gaia EDR3 5522193006138143488,264.357743041,-1.7424376477,130.70735739507,-45.18101945609,0.4588,0.0957,-5.414,0.1,4.422,0.093,17.961887,0.003011,1.69927,,,0.040496
Gaia EDR3 5522193010445512448,264.3615463853,-1.7552472272,130.69637344944,-45.19191011199,0.3545,0.0239,-4.626,0.026,5.646,0.025,15.410017,0.002776,1.936347,,,0.009336
Gaia EDR3 5522193074863581440,264.3469729296,-1.7481755299,130.69153309496,-45.1760811267,0.3716,0.1706,-5.953,0.179,5.925,0.186,18.908846,0.003495,1.751347,,,0.054017
Gaia EDR3 5522193079164988032,264.3548544105,-1.7445575524,130.70246402243,-45.18005335089,0.4132,0.0438,-5.513,0.047,5.719,0.044,16.596413,0.002817,1.369937,,,0.010919
Gaia EDR3 5522193216603936128,264.3372698179,-1.7170642821,130.71779039373,-45.14926306105,0.4925,0.1218,-6.167,0.126,5.237,0.162,18.224667,0.003148,1.614626,,,0.031836
Gaia EDR3 5522193250963716480,264.377276793,-1.7129393265,130.75738180983,-45.17819191979,0.2091,0.0123,-6.295,0.014,5.705,0.014,13.684475,0.002772,2.188354,,,0.006782
Gaia EDR3 5522193250963728256,264.3893930304,-1.7173086895,130.76310707944,-45.1904180851,0.2525,0.0492,-5.592,0.052,5.154,0.053,16.850307,0.002838,1.611621,,,0.012924
Gaia EDR3 5522193354042930176,264.3625482396,-1.6899992936,130.77009699803,-45.15245065649,0.5248,0.1779,-5.327,0.18,5.11,0.228,18.859814,0.003455,2.668774,,,0.079734
Gaia EDR3 5522193354042932224,264.3679838181,-1.6935982948,130.77083678406,-45.15894684124,0.478,0.0453,-5.117,0.047,5.879,0.046,16.602348,0.002822,1.348583,,,0.009479
Gaia EDR3 5522193384098827776,264.378858155,-1.685821069,130.78902992054,-45.16269751659,0.3829,0.0238,-5.993,0.026,4.33,0.027,15.409593,0.002776,1.22563,,,0.009576
Gaia EDR3 5522193452814763520,264.361415622,-1.6730215301,130.78804441157,-45.14107979716,0.494,0.0892,-5.057,0.098,4.486,0.096,17.931135,0.003036,1.467607,,,0.026187
Gaia EDR3 5522193525841597568,264.3484168177,-1.7104707532,130.7348942216,-45.15396654282,0.5213,0.0372,-4.683,0.04,4.624,0.04,16.28703,0.002814,1.383219,,,0.009343
Gaia EDR3 5522193762052441600,264.3192824213,-1.6593759019,130.76641619556,-45.09952259241,0.5505,0.0592,-5.004,0.065,4.951,0.068,16.929533,0.003238,1.436447,,,0.018771
Gaia EDR3 5522194105651143808,264.3810829308,-1.6324052716,130.85053872104,-45.13145270162,0.3284,0.1461,-4.519,0.166,5.564,0.2,18.443684,0.003264,1.892277,,,0.054791
Gaia EDR3 5522194109957233280,264.3905832893,-1.6352499364,130.85568796698,-45.14067664637,0.4923,0.0319,-6.052,0.037,4.561,0.039,15.192633,0.002791,1.240209,,,0.007547
Gaia EDR3 5522194178676695296,264.3808710695,-1.6449972137,130.83631872645,-45.13906683915,0.4948,0.0653,-6.122,0.072,6.015,0.07,17.293356,0.002961,1.5952,,,0.016514
Gaia EDR3 5522194243090153216,264.3776541936,-1.6129933383,130.86916452597,-45.11676048878,0.2244,0.1755,-4.428,0.182,5.412,0.221,18.841005,0.00349,2.309885,,,0.067815
Gaia EDR3 5522194277449915392,264.3678627711,-1.6174385306,130.85564026561,-45.1118140205,0.3475,0.1672,-4.37,0.171,4.619,0.197,18.83511,0.003418,1.841745,,,0.054092
Gaia EDR3 5522194316115652224,264.3665933933,-1.6119214176,130.86067454931,-45.10740663404,0.5241,0.0955,-5.997,0.106,5.475,0.118,18.027744,0.00301,1.861662,,,0.031879
Gaia EDR3 5522194316115656064,264.3683174354,-1.6075527313,130.8670495679,-45.1060610218,0.3971,0.0291,-4.433,0.034,4.879,0.032,15.68565,0.002782,1.146492,,,0.007887
Gaia EDR3 5522194522274136064,264.3907340661,-1.5562518877,130.94379114962,-45.09193870296,0.2521,0.0262,-5.09,0.033,4.132,0.03,15.504796,0.002779,1.390451,,,0.00767
Gaia EDR3 5522194552327898624,264.3830386848,-1.5658891008,130.92632496384,-45.09185927868,0.355,0.1603,-5.536,0.174,4.902,0.228,18.690722,0.003713,2.156364,,,0.055409
Gaia EDR3 5522194625353324800,264.3819690464,-1.5902328646,130.89829075058,-45.10607761465,0.2862,0.0527,-4.89,0.061,4.358,0.056,16.914843,0.002849,1.742758,,,0.01455
Gaia EDR3 5522194659704249344,264.368677371,-1.5782650247,130.89997300553,-45.08823517658,0.2992,0.1318,-5.105,0.14,5.222,0.165,18.42284,0.003229,1.796505,,,0.051025
