EDR3Name,GLON,GLAT,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,RVDR2,e_RVDR2,e_BP-RP
Gaia EDR3 5522098448139508096,264.3910821213,-1.8660835755,130.59820603176,-45.2834401267,0.2929,0.091,-4.604,0.088,6.022,0.102,17.94861,0.003032,1.557529,,,0.02163
Gaia EDR3 5522098482499225344,264.3914120513,-1.8784662122,130.58462237374,-45.29132086365,0.4737,0.1719,-4.542,0.159,5.888,0.198,18.883667,0.003543,1.648491,,,0.051904
Gaia EDR3 5522098551218744320,264.3885380886,-1.853369008,130.61022163188,-45.27360956163,0.4315,0.1459,-4.783,0.135,5.676,0.195,18.532442,0.003244,1.677299,,,0.036879
Gaia EDR3 5522098624249456128,264.3851433282,-1.851245835,130.60963096741,-45.26962867821,0.2933,0.0324,-4.768,0.035,5.035,0.037,16.14223,0.002791,1.717917,,,0.008642
Gaia EDR3 5522098654298006400,264.3769695912,-1.8345334922,130.62119463112,-45.25290163831,0.2261,0.1346,-4.814,0.138,5.245,0.172,18.527517,0.003282,1.703213,,,0.034898
Gaia EDR3 5522099100974678144,264.3688663349,-1.7887425761,130.66533633393,-45.21831590862,0.2353,0.1484,-6.305,0.146,5.441,0.187,18.657213,0.003396,1.814707,,,0.0436
Gaia EDR3 5522099105285806208,264.3759325736,-1.8000981288,130.65881617935,-45.23087543813,0.2406,0.0638,-5.077,0.067,4.26,0.067,17.42928,0.002887,1.493996,,,0.016924
Gaia EDR3 5522110272200739840,264.3685808866,-1.8630465284,130.58193965376,-45.26384524549,0.3451,0.0466,-5.03,0.05,4.673,0.049,16.692484,0.002824,1.396889,,,0.010013
Gaia EDR3 5522110272200743680,264.3705643246,-1.8603448666,130.58669845956,-45.26374525539,0.3292,0.0266,-5.109,0.03,4.804,0.029,15.696551,0.002782,1.648176,,,0.008048
Gaia EDR3 5522110443999417344,264.349933477,-1.8540099429,130.57576725257,-45.24359334542,0.4759,0.0504,-5.013,0.052,5.002,0.057,16.965878,0.002836,1.310877,,,0.010711
Gaia EDR3 5522110542767521152,264.3395848074,-1.8591812791,130.56093984683,-45.23862097771,0.3921,0.1664,-4.688,0.166,4.973,0.222,18.839365,0.003641,1.790997,,,0.062212
Gaia EDR3 5522110542767531904,264.3334508631,-1.8603677831,130.55425590964,-45.23451727383,0.3755,0.1244,-5.135,0.122,5.77,0.179,18.348885,0.00322,1.494404,,,0.03136
Gaia EDR3 5522110615798080000,264.3228786738,-1.8578858922,130.54780606367,-45.22465929389,0.479,0.0254,-5.454,0.027,5.664,0.028,15.597906,0.002779,1.248005,,,0.007751
Gaia EDR3 5522110615798388480,264.3223311964,-1.8622879857,130.54239992256,-45.22693521989,0.4336,0.0117,-5.503,0.012,4.093,0.013,13.521603,0.002771,0.506044,,,0.006649
Gaia EDR3 5522110650158142080,264.3430585691,-1.8512560659,130.57284589748,-45.23648226998,0.5695,0.1978,-4.456,0.694,4.768,0.484,17.869328,0.003479,,,,
Gaia EDR3 5522110718877303296,264.3231279181,-1.8417775625,130.5660535883,-45.21494684662,0.5099,0.0672,-5.749,0.075,5.075,0.072,17.439173,0.002945,1.424707,,,0.016207
Gaia EDR3 5522110718877303552,264.3216848083,-1.8387758065,130.56815306054,-45.2119629755,0.3198,0.1248,-4.864,0.126,4.245,0.158,18.295504,0.003163,1.610212,,,0.029797
Gaia EDR3 5522110753230873984,264.3169723975,-1.8276480263,130.57649030482,-45.20140326438,0.4813,0.1079,-4.442,0.114,5.378,0.123,17.787655,0.003449,1.609266,,,0.025194
Gaia EDR3 5522110852005202048,264.3462663465,-1.8172490322,130.61370363107,-45.21807840105,0.3965,0.165,-4.983,0.163,5.524,0.216,18.785294,0.003454,1.664072,,,0.039617
Gaia EDR3 5522110856316282112,264.3396908665,-1.8258253299,130.59836533274,-45.21817884986,0.3272,0.0521,-4.462,0.056,4.414,0.057,15.012205,0.002783,1.075898,,,0.007286
Gaia EDR3 5522110886364965504,264.3366405846,-1.8102795449,130.61309110304,-45.20620616368,0.4238,0.0975,-4.944,0.103,4.662,0.107,18.024239,0.003017,1.536812,,,0.030145
Gaia EDR3 5522110920724721664,264.3448887781,-1.7845927697,130.64901819342,-45.19688207532,0.3493,0.0258,-4.534,0.029,4.693,0.028,15.672648,0.002776,1.109642,,,0.007863
Gaia EDR3 5522110925035780608,264.344194998,-1.7953884256,130.63634261208,-45.20298555978,0.5533,0.0453,-5.495,0.048,4.552,0.044,16.678066,0.002817,1.541072,,,0.017431
Gaia EDR3 5522110989444209792,264.3321700028,-1.7923225388,130.62926581567,-45.19162816523,0.2091,0.101,-4.365,0.108,4.544,0.118,18.074564,0.003052,1.580029,,,0.026611
Gaia EDR3 5522111096834443008,264.3158809346,-1.7956301502,130.61134400828,-45.18083639093,0.3179,0.0535,-4.669,0.056,4.744,0.054,17.04668,0.00284,1.222084,,,0.016068
Gaia EDR3 5522111096834448896,264.3245606797,-1.8009610357,130.61296229135,-45.19095475056,0.4845,0.0183,-5.779,0.021,4.848,0.019,14.911919,0.002781,0.786203,,,0.007301
