# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522020009165982080" 6.28613 3.01670 7.40952 1.65228 4.36505 2.01323 0.58
"Gaia EDR3 5522014545967742464" 10.36849 0.44713 6.79671 1.39687 3.27332 1.72457 0.61
"Gaia EDR3 5329864409300143616" 11.30355 0.27433 5.69291 0.89969 2.01194 1.36839 0.63
"Gaia EDR3 5522021555354312064" 11.45348 0.86012 5.44415 0.78792 2.01283 1.28964 0.54
"Gaia EDR3 5329868738627041408" 12.38768 0.36688 4.21157 0.39027 1.36814 0.98796 0.58
"Gaia EDR3 5522116830603381120" 12.39562 0.69259 4.17280 0.38364 1.64803 0.97948 0.55
"Gaia EDR3 5522118243650501632" 13.06990 0.43821 3.38180 0.26814 0.91617 0.67526 0.48
"Gaia EDR3 5522023509554943872" 13.07542 0.80512 3.34120 0.27180 1.28383 0.72736 0.53
"Gaia EDR3 5522022311268665344" 13.39323 0.53876 3.00045 0.26545 0.95861 0.66318 0.57
"Gaia EDR3 5329866745762183040" 13.46087 0.48137 2.93275 0.26051 0.80151 0.61183 0.47
"Gaia EDR3 5522014958284517632" 13.49840 0.54336 2.88671 0.25369 0.89582 0.62439 0.55
"Gaia EDR3 5522037738790973056" 13.79883 0.75466 2.57987 0.20010 0.97122 0.60978 0.55
"Gaia EDR3 5522018806575192704" 13.81005 0.85813 2.56051 0.19846 1.03046 0.59912 0.54
"Gaia EDR3 5522020902519373952" 13.97051 0.59842 2.45076 0.18383 0.70692 0.53169 0.51
"Gaia EDR3 5522026537516530048" 14.05280 0.74969 2.36183 0.17036 0.93511 0.54686 0.57
"Gaia EDR3 5522021486634858368" 14.09226 0.88332 2.31010 0.16105 1.02641 0.52097 0.56
"Gaia EDR3 5522121370389801472" 14.14197 0.84275 2.27406 0.15094 0.99817 0.51910 0.57
"Gaia EDR3 5522021177397239296" 14.23907 0.61625 2.23523 0.13738 0.59897 0.44720 0.46
"Gaia EDR3 5522020902519368832" 14.44874 0.72589 2.08716 0.10617 0.70187 0.47223 0.56
"Gaia EDR3 5522023616938746880" 14.48731 0.99036 2.01975 0.09961 0.95422 0.49248 0.56
"Gaia EDR3 5522015164443010560" 14.55827 0.80815 2.00776 0.09250 0.75095 0.47608 0.59
"Gaia EDR3 5522019253251732736" 14.71203 0.65820 1.95211 0.07826 0.42679 0.35828 0.41
"Gaia EDR3 5522020421482998912" 14.82023 0.80318 1.88210 0.06631 0.56639 0.40969 0.47
"Gaia EDR3 5329867879633693952" 14.82283 0.70683 1.89393 0.06884 0.47331 0.37807 0.39
"Gaia EDR3 5522020868159645056" 14.90757 0.79245 1.85059 0.06538 0.49165 0.37993 0.41
"Gaia EDR3 5522019493769907200" 14.98345 0.89251 1.80274 0.06836 0.59194 0.42237 0.55
"Gaia EDR3 5522117006703065344" 14.98871 0.77544 1.81870 0.06711 0.44439 0.35698 0.41
"Gaia EDR3 5522022002030946048" 15.17458 0.95978 1.71982 0.06202 0.60104 0.39773 0.55
"Gaia EDR3 5522026640595278848" 15.47248 0.98440 1.61818 0.05826 0.42420 0.32458 0.42
"Gaia EDR3 5522030690740718976" 15.49267 1.00293 1.60961 0.05722 0.42691 0.32465 0.43
"Gaia EDR3 5329866883201158016" 15.53012 1.05282 1.59293 0.05423 0.45551 0.34597 0.49
"Gaia EDR3 5329962059670111360" 15.55265 1.03271 1.58804 0.05399 0.43126 0.33236 0.43
"Gaia EDR3 5522027155991378560" 15.57768 1.07021 1.57838 0.05463 0.47081 0.35734 0.47
"Gaia EDR3 5329869013505660672" 15.57938 1.30195 1.55773 0.05338 0.67630 0.40532 0.55
