# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522209846717168256" 11.58098 0.38390 4.28590 0.69643 1.56078 1.08199 0.56
"Gaia EDR3 5522209606198977152" 11.78475 0.51283 4.15751 0.60966 1.45775 1.03467 0.56
"Gaia EDR3 5522210976281286144" 11.86906 0.38663 4.10371 0.57816 1.42089 1.01043 0.53
"Gaia EDR3 5522210087235298816" 12.55081 0.49192 3.60315 0.41146 1.21171 0.82480 0.52
"Gaia EDR3 5522209842415261312" 12.74031 0.53047 3.42086 0.36985 1.13831 0.78317 0.51
"Gaia EDR3 5522207334149027200" 12.74710 0.54917 3.40962 0.36211 1.16375 0.78517 0.52
"Gaia EDR3 5522210014208615680" 12.77680 0.64220 3.38247 0.35963 1.22068 0.77986 0.54
"Gaia EDR3 5522209606199436800" 12.81922 0.55058 3.35067 0.35743 1.14666 0.76083 0.52
"Gaia EDR3 5522209984156125312" 12.90759 0.58611 3.27280 0.33406 1.13096 0.75075 0.53
"Gaia EDR3 5522210121595047680" 12.94430 0.51512 3.24212 0.32541 1.03762 0.72534 0.50
"Gaia EDR3 5522211461624887040" 13.31307 0.61165 2.90467 0.25967 0.94825 0.64375 0.52
"Gaia EDR3 5522209777997707776" 13.34019 0.55877 2.88269 0.26208 0.86304 0.62894 0.49
"Gaia EDR3 5522209984156125184" 13.53556 0.59793 2.71903 0.25777 0.83167 0.59119 0.51
"Gaia EDR3 5522210190314543872" 14.19836 0.75821 2.17995 0.17885 0.71832 0.47492 0.51
"Gaia EDR3 5522211014948240128" 14.20529 0.69131 2.18239 0.17890 0.63513 0.45785 0.47
"Gaia EDR3 5522210224674267136" 14.23639 0.64000 2.16451 0.17559 0.57002 0.43031 0.45
"Gaia EDR3 5522210980588498816" 14.37373 0.61029 2.07216 0.16378 0.51785 0.38956 0.45
"Gaia EDR3 5522210155954802688" 14.46055 0.75550 2.00070 0.15449 0.60948 0.43512 0.49
"Gaia EDR3 5522210121595044864" 14.54016 0.67844 1.96140 0.15281 0.51010 0.37544 0.45
"Gaia EDR3 5522210911869001600" 14.67382 0.70898 1.88216 0.14294 0.46858 0.34548 0.46
"Gaia EDR3 5522206582542096640" 14.69150 1.05014 1.82498 0.14245 0.77246 0.42004 0.56
"Gaia EDR3 5522212664215690240" 14.69567 0.78045 1.85756 0.14101 0.53106 0.37669 0.49
"Gaia EDR3 5522209640558713344" 14.78531 0.93175 1.78943 0.13331 0.63359 0.40983 0.56
"Gaia EDR3 5522209911129590784" 14.91984 0.78519 1.74660 0.12336 0.44924 0.33024 0.47
"Gaia EDR3 5522210052875579264" 14.98395 0.82734 1.71035 0.11880 0.45311 0.32674 0.48
"Gaia EDR3 5522209331321089536" 15.17431 0.99684 1.61003 0.11175 0.56094 0.36937 0.53
"Gaia EDR3 5522209812357426560" 15.34897 1.03866 1.54417 0.10217 0.55648 0.36370 0.52
"Gaia EDR3 5522211083667703936" 15.47765 1.00415 1.50573 0.09995 0.49976 0.33060 0.47
"Gaia EDR3 5522211736502760832" 15.55099 1.08600 1.47639 0.09782 0.57913 0.35091 0.50
"Gaia EDR3 5522213351410435200" 15.71984 1.21887 1.41539 0.09354 0.69507 0.33640 0.57
"Gaia EDR3 5522399409390773120" 15.85031 1.07479 1.38972 0.09229 0.56110 0.30862 0.42
"Gaia EDR3 5522209979854257920" 15.85300 1.17376 1.38147 0.09218 0.65385 0.31228 0.49
"Gaia EDR3 5522209434400298752" 15.93617 1.23801 1.35403 0.09054 0.69979 0.30145 0.52
"Gaia EDR3 5522211663476293120" 16.00816 1.19410 1.33865 0.08927 0.64817 0.29378 0.45
