EDR3Name GLON GLAT RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP RVDR2 e_RVDR2 e_BP-RP probs_final sel memb_probs
"Gaia EDR3 5522208128721035904" 264.2499527631 -1.6213920011 130.7481853228 -45.02155075036 0.5028 0.092 -4.413 0.103 2.933 0.098 17.72128 0.003148 "" "" "" "" 1.0 -1 0.0
"Gaia EDR3 5522208158782898176" 264.2397962867 -1.6309209982 130.72871477699 -45.01943952842 0.527 0.0689 -4.402 0.077 3.115 0.072 17.39655 0.00294 1.504579 "" "" 0.017431 1.0 1 1.0
"Gaia EDR3 5522208231809558528" 264.2381890719 -1.6026304567 130.75880395284 -45.00072013037 0.5226 0.0179 -4.411 0.019 3.068 0.02 14.685354 0.002767 0.91868 "" "" 0.007117 1.0 1 1.0
"Gaia EDR3 5522208266169303296" 264.2378754173 -1.5902179542 130.77234098505 -44.99281237716 0.517 0.0279 -4.383 0.03 3.025 0.033 15.759071 0.002779 1.24497 "" "" 0.007851 1.0 1 1.0
"Gaia EDR3 5522208369248475264" 264.2225334087 -1.6364014582 130.70755777884 -45.00923644451 0.5122 0.0164 -4.646 0.019 3.015 0.018 14.400025 0.002765 0.827783 "" "" 0.006938 1.0 1 1.0
"Gaia EDR3 5522208399301099520" 264.21203851 -1.6189996514 130.71778120538 -44.99024652045 0.4954 0.0718 -4.359 0.072 3.142 0.078 17.475079 0.002903 1.656418 "" "" 0.034758 1.0 1 1.0
"Gaia EDR3 5522208472327680128" 264.2050425845 -1.6202424068 130.7103001029 -44.98550805785 0.5785 0.0508 -4.504 0.049 2.98 0.051 16.72107 0.002834 1.45837 "" "" 0.013631 1.0 1 1.0
"Gaia EDR3 5522208575406905856" 264.2054150455 -1.6033440734 130.72942928262 -44.97537866347 0.4944 0.0345 -4.436 0.036 3.008 0.039 16.211103 0.002794 1.336456 "" "" 0.00865 1.0 1 1.0
"Gaia EDR3 5522208609766633216" 264.1890987333 -1.5902613229 130.72976253956 -44.95447129442 0.5057 0.0234 -4.372 0.024 3.079 0.026 15.321386 0.002772 1.255221 "" "" 0.008097 1.0 1 1.0
"Gaia EDR3 5522208609766641152" 264.1920777213 -1.5825536406 130.74093025658 -44.95205981073 0.581 0.0537 -4.481 0.058 2.997 0.059 16.964464 0.002847 1.480927 "" "" 0.013859 1.0 1 1.0
"Gaia EDR3 5522208609767027456" 264.1969960166 -1.5937095079 130.73280935866 -44.96281159844 0.4875 0.017 -4.485 0.018 3.061 0.02 14.170252 0.002762 1.071844 "" "" 0.00674 1.0 1 1.0
