# 
# Subset of stars selected as members
# M1: primary mass
# M2: secondary mass (if binary system)
# P_binar: binary probability
# 
ID Mag Col M1 M1_std M2 M2_std P_binar
"Gaia EDR3 5522020009165982080" 6.28613 3.01670 6.74706 1.35618 3.80849 2.12130 0.54
"Gaia EDR3 5522014545967742464" 10.36849 0.44713 6.20359 0.99739 2.62034 1.62744 0.60
"Gaia EDR3 5329864409300143616" 11.30355 0.27433 5.35531 0.64843 1.73726 1.25270 0.49
"Gaia EDR3 5522021555354312064" 11.45348 0.86012 5.08685 0.65707 1.77374 1.15815 0.51
"Gaia EDR3 5329868738627041408" 12.38768 0.36688 3.67580 0.45301 1.16294 0.85886 0.53
"Gaia EDR3 5522116830603381120" 12.39562 0.69259 3.63676 0.45227 1.38710 0.84873 0.54
"Gaia EDR3 5522118243650501632" 13.06990 0.43821 2.86857 0.32784 0.89485 0.61673 0.47
"Gaia EDR3 5522023509554943872" 13.07542 0.80512 2.82880 0.31682 1.12144 0.62855 0.53
"Gaia EDR3 5522022311268665344" 13.39323 0.53876 2.52364 0.26902 0.79906 0.54761 0.53
"Gaia EDR3 5329866745762183040" 13.46087 0.48137 2.46257 0.25294 0.72107 0.52563 0.46
"Gaia EDR3 5522014958284517632" 13.49840 0.54336 2.42063 0.24081 0.77989 0.53725 0.52
"Gaia EDR3 5522037738790973056" 13.79883 0.75466 2.15509 0.19465 0.87213 0.46049 0.57
"Gaia EDR3 5522018806575192704" 13.81005 0.85813 2.13409 0.19137 0.92666 0.44983 0.55
"Gaia EDR3 5522020902519373952" 13.97051 0.59842 2.03827 0.17321 0.61810 0.42102 0.52
"Gaia EDR3 5522026537516530048" 14.05280 0.74969 1.96335 0.16658 0.76467 0.44364 0.58
"Gaia EDR3 5522021486634858368" 14.09226 0.88332 1.91856 0.16363 0.87439 0.42937 0.56
"Gaia EDR3 5522121370389801472" 14.14197 0.84275 1.88556 0.16294 0.83732 0.43451 0.58
"Gaia EDR3 5522021177397239296" 14.23907 0.61625 1.85322 0.15742 0.53323 0.39287 0.47
"Gaia EDR3 5522020902519368832" 14.44874 0.72589 1.71385 0.14792 0.58380 0.38777 0.55
"Gaia EDR3 5522023616938746880" 14.48731 0.99036 1.65399 0.14273 0.85516 0.39326 0.59
"Gaia EDR3 5522015164443010560" 14.55827 0.80815 1.64506 0.13817 0.65868 0.40683 0.58
"Gaia EDR3 5522019253251732736" 14.71203 0.65820 1.59355 0.12944 0.38260 0.28809 0.44
"Gaia EDR3 5522020421482998912" 14.82023 0.80318 1.53073 0.11822 0.49382 0.33624 0.51
"Gaia EDR3 5329867879633693952" 14.82283 0.70683 1.54207 0.11928 0.39294 0.29101 0.44
"Gaia EDR3 5522020868159645056" 14.90757 0.79245 1.49898 0.11590 0.45669 0.32349 0.46
"Gaia EDR3 5522019493769907200" 14.98345 0.89251 1.46072 0.10814 0.56564 0.34152 0.55
"Gaia EDR3 5522117006703065344" 14.98871 0.77544 1.47293 0.11149 0.41716 0.28667 0.43
"Gaia EDR3 5522022002030946048" 15.17458 0.95978 1.39404 0.09908 0.59472 0.31812 0.54
"Gaia EDR3 5522026640595278848" 15.47248 0.98440 1.30899 0.09261 0.59796 0.26586 0.42
"Gaia EDR3 5522030690740718976" 15.49267 1.00293 1.30126 0.09069 0.61909 0.26429 0.43
"Gaia EDR3 5329866883201158016" 15.53012 1.05282 1.28768 0.09061 0.65742 0.25810 0.50
"Gaia EDR3 5329962059670111360" 15.55265 1.03271 1.28309 0.08992 0.63508 0.25569 0.45
"Gaia EDR3 5522027155991378560" 15.57768 1.07021 1.27376 0.08862 0.65587 0.25106 0.50
"Gaia EDR3 5329869013505660672" 15.57938 1.30195 1.25873 0.08766 0.80736 0.21851 0.60
"Gaia EDR3 5522031141721168128" 15.68388 1.00154 1.25191 0.08821 0.58357 0.24985 0.38
"Gaia EDR3 5522022276908925568" 15.69681 1.09023 1.24322 0.08710 0.64136 0.24631 0.48
"Gaia EDR3 5329961956590957568" 15.70070 1.07540 1.24312 0.08721 0.62798 0.24702 0.45
"Gaia EDR3 5522014271089861376" 15.75494 1.04028 1.23216 0.08578 0.57657 0.24607 0.40
"Gaia EDR3 5329867673475234048" 15.83387 1.14574 1.20647 0.08343 0.62002 0.23952 0.53
"Gaia EDR3 5329963193541180416" 15.95345 1.29274 1.17090 0.07955 0.71443 0.22098 0.63
"Gaia EDR3 5522020352763538048" 16.10728 1.19383 1.14013 0.07693 0.58361 0.24231 0.49
"Gaia EDR3 5522021555354314880" 16.23441 1.40484 1.10285 0.07310 0.71552 0.20301 0.61
"Gaia EDR3 5329865543171382528" 16.29785 1.11959 1.10081 0.07287 0.48142 0.22086 0.38
"Gaia EDR3 5522021722848025216" 16.38757 1.42742 1.07022 0.07145 0.68679 0.18898 0.63
"Gaia EDR3 5522022036390678400" 16.40390 1.51251 1.06389 0.07088 0.70973 0.17761 0.60
"Gaia EDR3 5329865405732406272" 16.60012 1.24556 1.03145 0.06597 0.48519 0.20492 0.41
"Gaia EDR3 5522020902519370240" 16.66948 1.25580 1.01644 0.06491 0.46927 0.20260 0.40
"Gaia EDR3 5522015576759843072" 16.74442 1.66096 0.98255 0.06400 0.66681 0.15804 0.58
"Gaia EDR3 5522025644163113728" 17.12735 1.51303 0.90699 0.05936 0.52995 0.17665 0.62
"Gaia EDR3 5329865989848013440" 17.15927 1.28065 0.91046 0.05799 0.37227 0.17190 0.35
"Gaia EDR3 5329863271119470976" 11.12889 0.24489 5.54385 0.65635 1.78312 1.29799 0.52
"Gaia EDR3 5329860835887439360" 12.14812 0.22820 4.06407 0.60282 1.22803 0.87792 0.52
"Gaia EDR3 5329864100062576000" 12.49364 0.38595 3.53766 0.41701 1.16662 0.82674 0.53
"Gaia EDR3 5329867673475236096" 12.77829 0.41560 3.21225 0.38196 1.00568 0.71900 0.52
"Gaia EDR3 5329864340580682496" 12.80633 2.20137 2.98793 0.36309 1.39927 0.58429 0.51
"Gaia EDR3 5522040178332184576" 12.86871 0.43811 3.09476 0.36955 0.97908 0.67248 0.52
"Gaia EDR3 5522012553102847232" 13.46330 0.78968 2.42860 0.24539 0.95769 0.53090 0.54
"Gaia EDR3 5329854857292900992" 13.76885 0.38601 2.21397 0.19573 0.47914 0.38292 0.45
"Gaia EDR3 5329848908748857600" 14.11265 0.42784 1.96169 0.16203 0.42910 0.33517 0.45
"Gaia EDR3 5329862656953462528" 14.25166 0.58261 1.84958 0.15666 0.49676 0.37789 0.44
"Gaia EDR3 5522012518743107584" 14.43234 0.95710 1.68992 0.14802 0.85524 0.39941 0.59
"Gaia EDR3 5329864581098907904" 14.50487 0.66014 1.69343 0.14504 0.47787 0.35382 0.47
"Gaia EDR3 5329862038478161792" 15.05694 0.77633 1.45042 0.10753 0.41282 0.28471 0.42
"Gaia EDR3 5329860148692368640" 15.13694 0.84002 1.41675 0.10146 0.45922 0.29088 0.42
"Gaia EDR3 5522013755693739904" 15.66086 1.07530 1.25319 0.08793 0.63413 0.24714 0.47
"Gaia EDR3 5522039388058176256" 15.79155 1.05238 1.22183 0.08565 0.57326 0.24774 0.40
"Gaia EDR3 5329855922444747776" 15.90857 0.96385 1.19770 0.08350 0.51675 0.23439 0.41
"Gaia EDR3 5522019798703613568" 16.16120 1.12967 1.13087 0.07622 0.51890 0.23290 0.38
"Gaia EDR3 5522030763764007808" 16.20303 1.16904 1.11989 0.07464 0.53320 0.23317 0.41
"Gaia EDR3 5329865268295489408" 16.34985 1.11318 1.09003 0.07096 0.46264 0.21131 0.38
"Gaia EDR3 5522014717766493056" 16.35784 1.30514 1.08171 0.07116 0.61125 0.21589 0.60
"Gaia EDR3 5329867639115490688" 16.44674 1.12631 1.06920 0.06987 0.46680 0.21004 0.38
"Gaia EDR3 5329868772987498112" 16.72907 1.27238 1.00283 0.06350 0.46627 0.19654 0.41
"Gaia EDR3 5522021589714075008" 16.77698 1.60968 0.97796 0.06288 0.65343 0.16347 0.60
"Gaia EDR3 5522026812397087232" 16.81673 1.50688 0.97408 0.06221 0.61799 0.17035 0.63
"Gaia EDR3 5329867531722699648" 17.08753 1.30726 0.92478 0.05897 0.38951 0.17589 0.36
"Gaia EDR3 5522025124462236672" 17.35240 1.56985 0.85958 0.05598 0.50643 0.17262 0.61
"Gaia EDR3 5522021654128561152" 14.72823 1.10192 1.52825 0.12097 0.87549 0.34233 0.59
"Gaia EDR3 5329864478019729280" 15.41649 1.12913 1.31268 0.09257 0.76869 0.25967 0.63
"Gaia EDR3 5522014442888535808" 16.68922 1.30915 1.01040 0.06415 0.50652 0.20092 0.50
"Gaia EDR3 5522019218892021504" 17.16702 1.50483 0.89938 0.05891 0.50924 0.17858 0.61
"Gaia EDR3 5522020868159646720" 17.30463 1.41709 0.87557 0.05604 0.40013 0.17652 0.42
"Gaia EDR3 5522021486624482304" 17.60408 1.58776 0.81697 0.05388 0.43906 0.16452 0.54
"Gaia EDR3 5329863619026351616" 15.70497 1.03109 1.24521 0.08751 0.59891 0.24827 0.39
"Gaia EDR3 5329868837392864000" 16.76461 1.26406 0.99575 0.06328 0.46001 0.19674 0.38
"Gaia EDR3 5522025850321538688" 17.49843 1.67309 0.82990 0.05497 0.51841 0.15485 0.63
"Gaia EDR3 5522022517427118080" 17.26341 1.73846 0.86804 0.05801 0.58039 0.15057 0.60
"Gaia EDR3 5329860487980594816" 17.40577 1.40863 0.85736 0.05498 0.38261 0.17833 0.37
"Gaia EDR3 5329867840960387712" 17.45472 1.42112 0.84800 0.05484 0.38205 0.17929 0.37
"Gaia EDR3 5522025781602069120" 16.50035 1.31834 1.05047 0.06817 0.58484 0.21190 0.60
"Gaia EDR3 5329862755723379584" 16.98853 1.24028 0.94752 0.06042 0.39777 0.17966 0.36
"Gaia EDR3 5522018561752041472" 17.23529 1.41900 0.88915 0.05787 0.42525 0.17646 0.46
"Gaia EDR3 5329865195264737408" 17.24757 1.26949 0.89258 0.05769 0.37250 0.17094 0.37
"Gaia EDR3 5522021005598577920" 17.40572 1.43773 0.85608 0.05530 0.40044 0.17799 0.41
"Gaia EDR3 5522022478762305408" 17.47689 1.55578 0.83848 0.05494 0.45522 0.17135 0.55
"Gaia EDR3 5522014580327430272" 17.61431 1.70996 0.81003 0.05393 0.50519 0.15147 0.63
"Gaia EDR3 5329863000551063808" 15.69230 0.97338 1.25143 0.08811 0.56982 0.24751 0.38
"Gaia EDR3 5522014545967737216" 15.30343 1.15836 1.33994 0.09443 0.80632 0.26862 0.63
"Gaia EDR3 5522032653549608960" 15.83205 1.19142 1.20443 0.08363 0.66020 0.23578 0.60
"Gaia EDR3 5522015641175793152" 16.57163 1.31919 1.03467 0.06678 0.55849 0.20567 0.57
"Gaia EDR3 5329861179484894080" 16.76662 1.11711 1.00014 0.06465 0.41288 0.18993 0.41
"Gaia EDR3 5522026705010261376" 17.67122 1.76477 0.79942 0.05324 0.51848 0.13993 0.63
"Gaia EDR3 5522018458672813056" 18.26325 1.74769 0.73284 0.05129 0.36357 0.15046 0.42
"Gaia EDR3 5522038490400641024" 17.52558 1.47149 0.83383 0.05376 0.39350 0.17002 0.41
"Gaia EDR3 5522015061363741824" 17.55824 1.77795 0.81580 0.05507 0.53519 0.14436 0.62
"Gaia EDR3 5329851386959584768" 15.78997 0.93107 1.22997 0.08580 0.53371 0.23876 0.41
"Gaia EDR3 5522040350130867328" 15.87330 1.20450 1.19349 0.08273 0.66506 0.23962 0.60
"Gaia EDR3 5329959551408963712" 16.52806 1.25271 1.04717 0.06768 0.50825 0.21377 0.46
"Gaia EDR3 5522018428618093696" 17.59724 1.43035 0.82387 0.05313 0.35606 0.16405 0.36
"Gaia EDR3 5522035642846844288" 14.28580 0.72175 1.81350 0.15410 0.66811 0.42838 0.57
"Gaia EDR3 5522017981941477888" 17.74938 1.66872 0.79195 0.05232 0.45165 0.16204 0.58
"Gaia EDR3 5329959413970009344" 14.17405 0.57401 1.90232 0.15662 0.51293 0.38164 0.45
"Gaia EDR3 5522032275592504192" 17.30754 1.23282 0.88312 0.05700 0.35285 0.16435 0.39
"Gaia EDR3 5522022169524704896" 18.25576 1.84811 0.73101 0.05153 0.39988 0.14575 0.57
"Gaia EDR3 5522038078084657408" 17.10049 1.53411 0.91118 0.05963 0.54912 0.17404 0.63
"Gaia EDR3 5522118106214674816" 14.72972 0.94351 1.54775 0.12281 0.75548 0.38104 0.62
"Gaia EDR3 5522038700863421184" 14.75422 0.64443 1.57686 0.12671 0.37578 0.27984 0.44
"Gaia EDR3 5329866470884214272" 16.91004 1.52850 0.95329 0.06163 0.60021 0.16925 0.63
"Gaia EDR3 5522014782181593472" 17.36457 1.42610 0.86352 0.05520 0.39818 0.17823 0.41
"Gaia EDR3 5329867158081068416" 17.52175 1.29610 0.84085 0.05410 0.33323 0.16643 0.39
"Gaia EDR3 5522022242549235968" 16.97867 1.59428 0.93474 0.06092 0.61574 0.15410 0.62
"Gaia EDR3 5329864649818441600" 17.00388 1.29291 0.94243 0.06006 0.41026 0.18342 0.36
"Gaia EDR3 5522116864963068544" 16.59760 1.32174 1.02898 0.06627 0.54728 0.20611 0.56
"Gaia EDR3 5522013790043165568" 16.99831 1.38744 0.94019 0.05928 0.47179 0.18962 0.51
"Gaia EDR3 5522018566057060736" 17.82432 1.64001 0.78329 0.05220 0.42013 0.16040 0.51
"Gaia EDR3 5522020524565100288" 16.75248 0.97908 1.00848 0.06470 0.40046 0.18746 0.45
"Gaia EDR3 5522018737855718272" 17.52076 1.57857 0.83068 0.05439 0.45859 0.16922 0.56
"Gaia EDR3 5522017535264820864" 14.03566 1.38830 1.88258 0.17613 1.01508 0.37402 0.53
"Gaia EDR3 5522024505986841472" 18.02334 1.84917 0.75320 0.05247 0.44467 0.15338 0.64
"Gaia EDR3 5329851210847701760" 16.95799 1.18675 0.95663 0.06090 0.39331 0.17574 0.39
"Gaia EDR3 5522025541084114944" 16.08635 1.21707 1.14404 0.07739 0.61339 0.24346 0.55
"Gaia EDR3 5329865818041926144" 17.07805 1.07317 0.93664 0.05915 0.36126 0.16803 0.44
"Gaia EDR3 5522020760775314304" 18.53470 1.59881 0.71303 0.05061 0.31315 0.14360 0.37
"Gaia EDR3 5329865710656455936" 18.29029 1.70143 0.73172 0.05099 0.35127 0.14756 0.36
"Gaia EDR3 5522025880377405824" 18.34395 1.96846 0.72081 0.05096 0.43274 0.13854 0.64
"Gaia EDR3 5522030656380959360" 16.86415 1.47772 0.96542 0.06129 0.58857 0.17755 0.63
"Gaia EDR3 5329863168040188032" 17.67538 1.52154 0.80877 0.05305 0.38587 0.16518 0.42
"Gaia EDR3 5522117247221226240" 15.98496 1.14586 1.17087 0.07912 0.57491 0.23906 0.45
